'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'ZEC-USDT','5m','ZEC-USDT','2021-08-05','2021-11-19','36','-5.6','-8.75',-18,'75','-0.09','-1.32','-2.04','9','3',47,-425,'27','9','25.33'
'QTUM-USDT','5m','QTUM-USDT','2021-08-05','2021-11-19','34','-10.49','-15.26',-31,'71','-0.04','-2.47','-2.06','10','3',48,-305,'24','10','71.07'
'LIT-USDT','5m','LIT-USDT','2021-08-05','2021-11-19','51','-11.84','-16.93',-35,'78','-0.14','-1.47','-2.06','12','2',47,-633,'40','11','3.04'
'UNFI-USDT','5m','UNFI-USDT','2021-08-05','2021-11-19','68','-18.12','-23.96',-49,'78','-0.1','-2.51','-2.06','9','2',49,-1099,'53','15','-5.78'
'NKN-USDT','5m','NKN-USDT','2021-08-05','2021-11-19','45','-15.56','-20.93',-44,'82','-0.06','-1.96','-2.09','17','2',45,-902,'37','8','93.84'
'ONT-USDT','5m','ONT-USDT','2021-08-05','2021-11-19','39','-7.11','-10.52',-22,'74','-0.08','-1.82','-2.11','7','2',48,-278,'29','10','8.29'
'XRP-USDT','5m','XRP-USDT','2021-08-05','2021-11-19','46','-9.53','-13.44',-29,'74','-0.06','-2.28','-2.15','8','2',48,-315,'34','12','42.08'
'BEL-USDT','5m','BEL-USDT','2021-08-05','2021-11-19','62','-13.67','-18.01',-39,'79','-0.08','-1.46','-2.19','13','3',46,-542,'49','13','5.48'
'ICP-USDT','5m','ICP-USDT','2021-08-05','2021-11-19','50','-23.08','-26.6',-59,'66','-0.07','-3.65','-2.22','8','4',49,-366,'33','17','1.06'
'XTZ-USDT','5m','XTZ-USDT','2021-08-05','2021-11-19','41','-22.54','-25.74',-58,'73','-0.08','-3.01','-2.26','6','2',48,-1248,'30','11','50.83'
'CTK-USDT','5m','CTK-USDT','2021-08-05','2021-11-19','54','-29.11','-30.43',-69,'69','-0.07','-3.95','-2.27','10','3',47,-884,'37','17','25.75'
'KSM-USDT','5m','KSM-USDT','2021-08-05','2021-11-19','52','-5.69','-7.93',-18,'79','-0.12','-1.18','-2.28','10','2',46,-485,'41','11','57.3'
'ICX-USDT','5m','ICX-USDT','2021-08-05','2021-11-19','44','-18.22','-21.76',-50,'68','-0.05','-3.72','-2.28','4','2',47,-449,'30','14','90.23'
'FLM-USDT','5m','FLM-USDT','2021-08-05','2021-11-19','50','-9.1','-12.08',-28,'80','-0.23','-0.94','-2.3','11','2',46,-402,'40','10','12.17'
'GTC-USDT','5m','GTC-USDT','2021-08-05','2021-11-19','52','-20.54','-23.1',-54,'77','-0.07','-2.56','-2.35','10','2',48,-1286,'40','12','-7.2'
'CRV-USDT','5m','CRV-USDT','2021-08-05','2021-11-19','44','-16.36','-19.06',-46,'75','-0.06','-3.01','-2.39','8','2',46,-620,'33','11','153.29'
'ATOM-USDT','5m','ATOM-USDT','2021-08-05','2021-11-19','47','-12.66','-15.34',-37,'77','-0.05','-2.66','-2.41','11','3',47,-706,'36','11','107.0'
