'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'KAVA-USD','15m','KAVA-USD','2021-09-01','2021-09-25','22','-25.83','-27.54',-99,'9','-7.31','-3.58','1','19',206,-237,'2','20','-15.77'
'YFII-USD','15m','YFII-USD','2021-09-01','2021-09-25','22','-25.18','-25.85',-99,'9','-7.74','-3.81','1','11',307,-251,'2','20','-37.29'
'BTC-USD','15m','BTC-USD','2021-09-01','2021-09-25','21','-3.23','-9.68',-38,'29','-0.73','-3.94','2','5',837,-234,'6','15','-9.05'
'HNT-USD','15m','HNT-USD','2021-09-01','2021-09-25','18','-19.87','-24.06',-96,'11','-7.51','-3.99','1','16',364,-238,'2','16','-28.9'
'LRC-USD','15m','LRC-USD','2021-09-01','2021-09-25','19','-5.57','-14.14',-57,'26','-1.02','-4.01','2','5',954,-252,'5','14','-32.03'
'GRT-USD','15m','GRT-USD','2021-09-01','2021-09-25','21','-18.96','-22.92',-95,'19','-4.85','-4.16','2','6',862,-241,'4','17','-18.95'
'KIN-USD','15m','KIN-USD','2021-09-01','2021-09-25','13','-23.11','-23.11',-98,'8','-9.02','-4.23','1','7',117,-252,'1','12','-31.39'
'SKL-USD','15m','SKL-USD','2021-09-01','2021-09-25','14','-23.02','-23.02',-98,'0','-8.81','-4.25','0','14',0,-251,'0','14','-21.44'
'CLV-USD','15m','CLV-USD','2021-09-01','2021-09-25','17','-4.17','-10.84',-46,'24','-0.43','-4.27','2','4',1858,-270,'4','13','-34.77'
'CREAM-USD','15m','CREAM-USD','2021-09-01','2021-09-25','19','-21.85','-21.85',-97,'16','-10.07','-4.45','2','7',372,-251,'3','16','-11.9'
'RSR-USD','15m','RSR-USD','2021-09-01','2021-09-25','16','-14.86','-20.06',-90,'19','-2.62','-4.51','1','10',664,-241,'3','13','-30.14'
'ETC-USD','15m','ETC-USD','2021-09-01','2021-09-25','15','-3.03','-8.01',-36,'27','-0.67','-4.52','1','5',412,-254,'4','11','-25.23'
'FLM-USD','15m','FLM-USD','2021-09-01','2021-09-25','9','-5.4','-11.81',-56,'22','-1.88','-4.71','2','7',557,-266,'2','7','-28.15'
'XRP-USD','15m','XRP-USD','2021-09-01','2021-09-25','18','-7.72','-14.61',-69,'17','-2.51','-4.73','1','8',825,-269,'3','15','-20.18'
'CHZ-USD','15m','CHZ-USD','2021-09-01','2021-09-25','15','-16.85','-19.65',-93,'20','-6.16','-4.75','1','9',245,-248,'3','12','-25.54'
'PROM-USD','15m','PROM-USD','2021-09-01','2021-09-25','12','-17.08','-19.33',-94,'17','-5.77','-4.84','1','8',225,-252,'2','10','-11.89'
'FTT-USD','15m','FTT-USD','2021-09-01','2021-09-25','15','-9.96','-15.89',-78,'13','-2.02','-4.93','2','11',798,-250,'2','13','9.53'
'NEAR-USD','15m','NEAR-USD','2021-09-01','2021-09-25','15','-13.24','-17.72',-87,'20','-2.82','-4.93','1','8',650,-244,'3','12','51.82'
'AR-USD','15m','AR-USD','2021-09-01','2021-09-25','7','-11.08','-16.29',-82,'14','-4.5','-5.03','1','6',196,-257,'1','6','-26.84'
'DODO-USD','15m','DODO-USD','2021-09-01','2021-09-25','16','-12.41','-16.52',-86,'19','-2.78','-5.18','2','6',423,-247,'3','13','-32.49'
'KNC-USD','15m','KNC-USD','2021-09-01','2021-09-25','10','-5.44','-10.61',-56,'30','-1.53','-5.26','2','5',381,-250,'3','7','-24.54'
'ICX-USD','15m','ICX-USD','2021-09-01','2021-09-25','8','-6.18','-11.48',-61,'25','-2.91','-5.28','1','4',474,-259,'2','6','20.23'
'AVAX-USD','15m','AVAX-USD','2021-09-01','2021-09-25','10','-9.14','-14.17',-75,'20','-3.04','-5.32','1','6',814,-266,'2','8','84.01'
'HT-USD','15m','HT-USD','2021-09-01','2021-09-25','21','-5.46','-10.39',-56,'29','-1.49','-5.38','1','4',597,-248,'6','15','-35.59'
'SRM-USD','15m','SRM-USD','2021-09-01','2021-09-25','12','-17.38','-17.38',-94,'8','-7.46','-5.4','1','6',606,-251,'1','11','-5.49'
'LEO-USD','15m','LEO-USD','2021-09-01','2021-09-25','30','-16.56','-17.18',-93,'13','-9.36','-5.41','2','16',241,-239,'4','26','1.55'
'OMG-USD','15m','OMG-USD','2021-09-01','2021-09-25','10','-16.18','-16.37',-92,'10','-9.55','-5.65','1','7',169,-251,'1','9','44.83'
'EOS-USD','15m','EOS-USD','2021-09-01','2021-09-25','18','-16.12','-16.12',-92,'17','-5.36','-5.73','1','6',214,-248,'3','15','-19.8'
'CRO-USD','15m','CRO-USD','2021-09-01','2021-09-25','13','-5.76','-10.02',-58,'31','-1.98','-5.78','2','4',434,-259,'4','9','3.67'
'DOGE-USD','15m','DOGE-USD','2021-09-01','2021-09-25','16','-5.62','-9.73',-57,'12','-2.25','-5.86','1','9',561,-244,'2','14','-24.56'
'BSV-USD','15m','BSV-USD','2021-09-01','2021-09-25','22','-13.42','-14.77',-88,'18','-2.84','-5.94','1','5',956,-247,'4','18','-17.95'
'SUSHI-USD','15m','SUSHI-USD','2021-09-01','2021-09-25','11','-7.37','-11.04',-67,'27','-1.72','-6.1','3','5',487,-258,'3','8','-19.41'
'ATOM-USD','15m','ATOM-USD','2021-09-01','2021-09-25','7','-13.67','-13.67',-88,'0','-7.88','-6.46','0','7',0,-251,'0','7','86.2'
'CEL-USD','15m','CEL-USD','2021-09-01','2021-09-25','21','-7.78','-10.64',-69,'33','-2.46','-6.52','2','5',494,-253,'7','14','-8.71'
'ICP-USD','15m','ICP-USD','2021-09-01','2021-09-25','14','-12.67','-12.67',-86,'14','-4.34','-6.8','1','6',281,-247,'2','12','-26.22'
'ENJ-USD','15m','ENJ-USD','2021-09-01','2021-09-25','16','-4.58','-7.24',-50,'25','-1.18','-6.85','2','7',344,-246,'4','12','-33.14'
'OKB-USD','15m','OKB-USD','2021-09-01','2021-09-25','17','-12.21','-12.21',-85,'18','-7.19','-6.97','2','11',89,-252,'3','14','-31.48'
'CONV-USD','15m','CONV-USD','2021-09-01','2021-09-25','11','-12.1','-12.1',-85,'18','-8.9','-7.01','2','5',6,-247,'2','9','-16.58'
'ONT-USD','15m','ONT-USD','2021-09-01','2021-09-25','9','-10.98','-10.98',-82,'33','-6.61','-7.44','3','3',64,-249,'3','6','-20.79'
'BRZ-USD','15m','BRZ-USD','2021-09-01','2021-09-25','19','-1.95','-3.34',-25,'16','-4.84','-7.46','2','15',68,-49,'3','16','-3.42'
'SOL-USD','15m','SOL-USD','2021-09-01','2021-09-25','9','-9.46','-9.71',-77,'22','-2.75','-7.88','1','5',395,-246,'2','7','29.52'
'FTM-USD','15m','FTM-USD','2021-09-01','2021-09-25','7','-9.49','-9.49',-77,'14','-4.8','-8.08','1','4',67,-251,'1','6','68.37'
'TRYB-USD','15m','TRYB-USD','2021-09-01','2021-09-25','22','-8.87','-8.87',-74,'5','-9.56','-8.37','1','15',85,-144,'1','21','-6.27'
'WAVES-USD','15m','WAVES-USD','2021-09-01','2021-09-25','11','-8.06','-8.43',-71,'18','-4.12','-8.39','1','5',243,-237,'2','9','-8.9'
'SAND-USD','15m','SAND-USD','2021-09-01','2021-09-25','12','-8.67','-8.67',-73,'25','-4.89','-8.47','2','6',285,-244,'3','9','-28.33'
'SHIB-USD','15m','SHIB-USD','2021-09-01','2021-09-25','9','-8.41','-8.41',-72,'11','-5.13','-8.6','1','6',313,-241,'1','8','7.75'
'MER-USD','15m','MER-USD','2021-09-01','2021-09-25','10','-8.35','-8.35',-72,'0','-9.0','-8.62','0','10',0,-238,'0','10','7.27'
'XAUT-USD','15m','XAUT-USD','2021-09-01','2021-09-25','31','-7.62','-7.62',-69,'16','-9.84','-9.0','2','9',108,-69,'5','26','-3.47'
'PAXG-USD','15m','PAXG-USD','2021-09-01','2021-09-25','30','-6.88','-6.88',-65,'17','-9.77','-9.4','2','9',117,-104,'5','25','-3.37'
