'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'AVAX-USD','5m','AVAX-USD','2021-06-01','2021-09-25','31','6.81','-16.6',23,'29','0.72','1.37','3','5',2185,-686,'9','22','300.83'
'BAL-USD','5m','BAL-USD','2021-06-01','2021-09-25','28','4.76','-11.5',16,'36','0.67','1.36','3','4',1217,-260,'10','18','-33.99'
'ZEC-USD','5m','ZEC-USD','2021-06-01','2021-09-25','26','4.64','-13.4',15,'31','0.64','1.13','2','6',1026,-312,'8','18','-31.11'
'BAND-USD','5m','BAND-USD','2021-06-01','2021-09-25','31','4.65','-15.93',15,'35','0.58','0.96','3','4',906,-368,'11','20','-16.92'
'FTT-USD','5m','FTT-USD','2021-06-01','2021-09-25','55','6.99','-25.84',23,'35','0.75','0.91','6','12',1361,-377,'19','36','56.38'
'AR-USD','5m','AR-USD','2021-06-01','2021-09-25','41','4.71','-20.18',15,'32','0.53','0.77','2','7',1794,-786,'13','28','213.1'
'BSV-USD','5m','BSV-USD','2021-06-01','2021-09-25','27','3.35','-14.31',11,'33','0.49','0.76','2','4',1346,-509,'9','18','-22.92'
'MATIC-USD','5m','MATIC-USD','2021-06-01','2021-09-25','32','4.16','-18.62',14,'41','0.53','0.73','4','7',999,-502,'13','19','-39.38'
'AAVE-USD','5m','AAVE-USD','2021-06-01','2021-09-25','41','3.71','-18.46',12,'29','0.5','0.65','2','5',1220,-351,'12','29','-26.18'
'EGLD-USD','5m','EGLD-USD','2021-06-01','2021-09-25','22','2.56','-12.65',8,'41','0.43','0.65','3','6',544,-320,'9','13','130.56'
'SHIB-USD','5m','SHIB-USD','2021-06-01','2021-09-25','28','2.62','-16.61',8,'32','0.42','0.51','3','8',817,-404,'9','19','-19.63'
'RUNE-USD','5m','RUNE-USD','2021-06-01','2021-09-25','38','3.75','-27.68',12,'39','0.48','0.44','4','8',1766,-477,'15','23','-36.8'
'XAUT-USD','5m','XAUT-USD','2021-06-01','2021-09-25','3','0.29','-2.07',1,'33','0.25','0.44','1','2',93,-37,'1','2','-8.08'
'HUM-USD','5m','HUM-USD','2021-06-01','2021-09-25','48','3.31','-27.57',11,'38','0.45','0.39','3','9',1645,-687,'18','30','10.23'
'BNB-USD','5m','BNB-USD','2021-06-01','2021-09-25','30','1.26','-12.28',4,'33','0.28','0.33','5','9',668,-265,'10','20','1.04'
'CAKE-USD','5m','CAKE-USD','2021-06-01','2021-09-25','41','1.71','-19.13',5,'32','0.32','0.28','3','9',1118,-340,'13','28','5.77'
