'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USD','5m','go4<a','2021-02-01','2021-08-01','103','47.59','-16.17',118,'37','1.93','7.32','3','5',1660,-1174,'38','65','93.52'
'ETH-USD','5m',',lLK)','2021-02-01','2021-08-01','369','63.63','-23.06',168,'24','1.86','7.31','3','13',1883,-510,'87','282','93.52'
'ETH-USD','5m','5J:VV','2021-02-01','2021-08-01','282','61.81','-22.3',162,'34','2.27','7.29','5','13',881,-392,'96','186','93.52'
'ETH-USD','5m','>IPVp','2021-02-01','2021-08-01','69','34.16','-11.06',80,'41','2.21','7.26','3','4',830,-444,'28','41','93.52'
'ETH-USD','5m','N6L9I','2021-02-01','2021-08-01','292','43.64','-14.98',107,'38','1.69','7.13','6','10',1511,-392,'111','181','93.52'
'ETH-USD','5m','BGs(@','2021-02-01','2021-08-01','224','66.31','-24.94',177,'35','1.99','7.11','4','10',1865,-539,'78','146','93.52'
'ETH-USD','5m','3K:Op','2021-02-01','2021-08-01','101','39.78','-13.67',96,'37','2.56','7.01','4','8',733,-313,'37','64','93.52'
'ETH-USD','5m','H)dl','2021-02-01','2021-08-01','53','18.44','-5.78',40,'60','2.54','7.0','5','7',429,-194,'32','21','93.52'
'ETH-USD','5m','H)al','2021-02-01','2021-08-01','53','18.44','-5.78',40,'60','2.54','7.0','5','7',429,-194,'32','21','93.52'
'ETH-USD','5m','N6LbI','2021-02-01','2021-08-01','297','44.9','-15.97',110,'38','1.74','6.91','6','11',1461,-395,'112','185','93.52'
'ETH-USD','5m','3G:Op','2021-02-01','2021-08-01','98','30.65','-10.26',71,'38','2.35','6.91','5','10',573,-265,'37','61','93.52'
'ETH-USD','5m','EAnK*','2021-02-01','2021-08-01','279','45.57','-16.46',112,'35','1.62','6.83','5','7',1394,-408,'99','180','93.52'
'ETH-USD','5m','r9WVI','2021-02-01','2021-08-01','202','52.14','-19.39',132,'41','1.78','6.81','5','6',1739,-982,'83','119','93.52'
'ETH-USD','5m','=Sj7I','2021-02-01','2021-08-01','261','59.29','-22.68',154,'31','1.8','6.81','4','15',1877,-607,'81','180','93.52'
'ETH-USD','5m','UKB6v','2021-02-01','2021-08-01','115','44.55','-16.08',109,'38','1.91','6.8','3','8',1315,-459,'44','71','93.52'
'ETH-USD','5m','r>lgI','2021-02-01','2021-08-01','189','42.64','-15.38',104,'40','1.59','6.75','4','9',2308,-1074,'76','113','93.52'
'ETH-USD','5m','Q_Ka','2021-02-01','2021-08-01','121','53.3','-20.22',136,'36','1.74','6.7','2','6',2213,-544,'43','78','93.52'
'ETH-USD','5m','r1W:I','2021-02-01','2021-08-01','207','43.41','-15.91',106,'42','1.73','6.67','4','7',1478,-599,'87','120','93.52'
'ETH-USD','5m','?c3KB','2021-02-01','2021-08-01','234','42.58','-15.67',104,'29','1.65','6.62','4','15',1005,-529,'68','166','93.52'
'ETH-USD','5m','r?WgI','2021-02-01','2021-08-01','178','37.68','-13.81',90,'43','1.51','6.51','4','6',1717,-1017,'76','102','93.52'
'ETH-USD','5m','=Ujk6','2021-02-01','2021-08-01','251','58.3','-23.3',151,'32','1.76','6.49','4','8',1853,-603,'80','171','93.52'
'ETH-USD','5m','=Uj:/','2021-02-01','2021-08-01','251','58.3','-23.3',151,'32','1.76','6.49','4','8',1853,-603,'80','171','93.52'
'ETH-USD','5m',',lQVB','2021-02-01','2021-08-01','351','58.32','-23.61',151,'23','1.79','6.41','3','14',1764,-474,'82','269','93.52'
'ETH-USD','5m','VoPsp','2021-02-01','2021-08-01','24','27.32','-9.76',62,'50','2.17','6.39','5','3',1457,-342,'12','12','93.52'
'ETH-USD','5m','ElW9\\','2021-02-01','2021-08-01','156','55.77','-22.43',143,'31','1.81','6.39','2','6',2091,-424,'49','107','93.52'
'ETH-USD','5m','V6POp','2021-02-01','2021-08-01','88','37.13','-13.87',88,'49','1.88','6.37','5','8',1392,-607,'43','45','93.52'
'ETH-USD','5m','8XYA:','2021-02-01','2021-08-01','275','59.52','-24.45',155,'30','1.78','6.34','3','11',1894,-430,'82','193','93.52'
'ETH-USD','5m','>@PVp','2021-02-01','2021-08-01','67','32.25','-11.92',75,'43','2.34','6.3','5','8',865,-391,'29','38','93.52'
'ETH-USD','5m','/lE>I','2021-02-01','2021-08-01','312','52.74','-21.34',134,'26','1.77','6.27','3','11',1677,-456,'80','232','93.52'
'ETH-USD','5m','/lLK)','2021-02-01','2021-08-01','314','54.59','-22.49',140,'25','1.74','6.21','3','11',1718,-456,'80','234','93.52'
