'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'DOT-USDT','5m','DOT-USDT','2021-07-01','2021-09-27','117','-4.71','-21.71',-18,'40','-0.12','-0.83','3','5',1218,-422,'47','70','76.35'
'CHR-USDT','5m','CHR-USDT','2021-07-01','2021-09-27','126','-6.84','-28.09',-25,'44','-0.15','-0.9','5','6',1042,-547,'56','70','75.89'
'ZEC-USDT','5m','ZEC-USDT','2021-07-01','2021-09-27','101','-5.56','-21.91',-21,'42','-0.32','-0.95','5','6',789,-259,'42','59','-14.92'
'DOGE-USDT','5m','DOGE-USDT','2021-07-01','2021-09-27','93','-6.69','-21.06',-25,'39','-0.33','-1.17','3','6',962,-419,'36','57','-19.15'
'MKR-USDT','5m','MKR-USDT','2021-07-01','2021-09-27','111','-5.95','-18.78',-22,'45','-0.4','-1.18','4','6',783,-263,'50','61','-12.48'
'ENJ-USDT','5m','ENJ-USDT','2021-07-01','2021-09-27','128','-10.33','-30.43',-36,'41','-0.56','-1.19','7','8',996,-323,'52','76','13.6'
'LTC-USDT','5m','LTC-USDT','2021-07-01','2021-09-27','101','-4.85','-15.4',-18,'40','-0.33','-1.2','3','8',940,-278,'40','61','4.73'
'THETA-USDT','5m','THETA-USDT','2021-07-01','2021-09-27','108','-9.78','-27.91',-34,'42','-0.78','-1.23','4','5',808,-390,'45','63','-26.15'
'LUNA-USDT','5m','LUNA-USDT','2021-07-01','2021-09-27','135','-11.13','-30.26',-38,'44','-0.61','-1.27','6','6',771,-472,'60','75','428.48'
'ICP-USDT','5m','ICP-USDT','2021-07-01','2021-09-27','118','-15.76','-38.18',-51,'44','-1.19','-1.32','5','6',700,-290,'52','66','-11.96'
'VET-USDT','5m','VET-USDT','2021-07-01','2021-09-27','109','-11.54','-29.46',-40,'41','-0.89','-1.34','3','4',829,-252,'45','64','0.93'
'BAKE-USDT','5m','BAKE-USDT','2021-07-01','2021-09-27','114','-14.76','-31.01',-48,'39','-0.92','-1.55','5','8',904,-315,'44','70','-20.44'
