'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'SC-USDT','5m','SC-USDT','2021-10-01','2021-11-15','89','-66.91','-73.03',-100,'28','-0.39','-1.15','-1.37','4','13',2042,-986,'25','64','36.27'
'LINK-USDT','5m','LINK-USDT','2021-10-01','2021-11-15','82','-35.04','-69.42',-97,'26','-0.1','-0.21','-1.39','2','11',2269,-1005,'21','61','40.86'
'GTC-USDT','5m','GTC-USDT','2021-10-01','2021-11-15','100','-35.51','-69.97',-97,'31','-0.17','0.4','-1.39','4','7',3949,-4941,'31','69','34.67'
'YFII-USDT','5m','YFII-USDT','2021-10-01','2021-11-15','81','-61.7','-71.65',-100,'31','-0.16','-2.15','-1.4','3','7',1255,-1013,'25','56','2.7'
'DOT-USDT','5m','DOT-USDT','2021-10-01','2021-11-15','78','-17.57','-55.09',-78,'32','-0.14','0.95','-1.42','3','6',2269,-1305,'25','53','62.31'
'ONE-USDT','5m','ONE-USDT','2021-10-01','2021-11-15','108','-45.75','-69.53',-99,'33','-0.18','0.36','-1.43','3','8',3632,-4979,'36','72','83.38'
'AVAX-USDT','5m','AVAX-USDT','2021-10-01','2021-11-15','83','-49.21','-69.15',-100,'31','-0.19','-0.44','-1.44','2','8',2473,-1518,'26','57','43.35'
'RAY-USDT','5m','RAY-USDT','2021-10-01','2021-11-15','86','-50.46','-69.14',-100,'31','-0.18','-0.54','-1.44','3','9',2269,-1093,'27','59','16.52'
'ADA-USDT','5m','ADA-USDT','2021-10-01','2021-11-15','71','-62.19','-68.9',-100,'23','-0.17','-2.51','-1.45','3','10',2269,-1166,'16','55','-3.5'
'EOS-USDT','5m','EOS-USDT','2021-10-01','2021-11-15','64','-35.47','-66.16',-97,'28','-0.14','-0.27','-1.46','2','8',2879,-1210,'18','46','25.79'
'ALPHA-USDT','5m','ALPHA-USDT','2021-10-01','2021-11-15','91','-23.65','-59.72',-88,'32','-0.19','0.41','-1.48','3','7',2831,-1974,'29','62','34.12'
'HBAR-USDT','5m','HBAR-USDT','2021-10-01','2021-11-15','97','-37.24','-65.29',-98,'32','-0.19','0.16','-1.49','2','10',3277,-2426,'31','66','30.17'
'UNI-USDT','5m','UNI-USDT','2021-10-01','2021-11-15','76','-34.65','-64.0',-97,'29','-0.15','-0.25','-1.51','2','7',2420,-1423,'22','54','4.64'
'VET-USDT','5m','VET-USDT','2021-10-01','2021-11-15','92','-24.95','-57.88',-90,'34','-0.16','0.6','-1.55','4','7',1926,-1451,'31','61','68.42'
'XEM-USDT','5m','XEM-USDT','2021-10-01','2021-11-15','92','-35.38','-62.34',-97,'32','-0.22','0.36','-1.55','4','8',2544,-1697,'29','63','31.49'
'BTC-USDT','5m','BTC-USDT','2021-10-01','2021-11-15','58','-16.45','-41.85',-76,'29','-0.17','0.22','-1.82','2','9',2559,-1366,'17','41','49.68'
'SRM-USDT','5m','SRM-USDT','2021-10-01','2021-11-15','86','-31.87','-48.51',-95,'30','-0.3','0.14','-1.96','3','8',2474,-2280,'26','60','-5.68'
