'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USD','5m','n>nqAN','2021-08-01','2021-09-25','40','-5.86','-17.81',-33,'32','-0.79','-1.83','3','7',627,-363,'13','27','15.62'
'ETH-USD','5m','(Q1T,O','2021-08-01','2021-09-25','197','-5.58','-16.82',-31,'19','-1.01','-1.86','3','16',227,-161,'37','160','15.62'
'ETH-USD','5m','*L1T,O','2021-08-01','2021-09-25','176','-6.4','-17.07',-35,'23','-1.04','-2.05','3','13',224,-183,'41','135','15.62'
'ETH-USD','5m','TWcCQK','2021-08-01','2021-09-25','40','-3.57','-10.08',-21,'30','-0.51','-2.09','2','7',492,-266,'12','28','15.62'
'ETH-USD','5m','>1*;GS','2021-08-01','2021-09-25','47','-2.2','-6.11',-13,'55','-0.82','-2.21','5','4',75,-223,'26','21','15.62'
'ETH-USD','5m',',_w9SR','2021-08-01','2021-09-25','37','-4.65','-11.36',-27,'27','-0.94','-2.35','2','7',475,-296,'10','27','15.62'
'ETH-USD','5m','1M-^`+','2021-08-01','2021-09-25','103','-9.2','-17.83',-47,'29','-2.0','-2.62','2','7',200,-177,'30','73','15.62'
'ETH-USD','5m','0>1ac>','2021-08-01','2021-09-25','135','-6.68','-13.76',-36,'25','-1.1','-2.63','3','12',258,-159,'34','101','15.62'
'ETH-USD','5m','*QCPf:','2021-08-01','2021-09-25','145','-12.15','-17.47',-57,'19','-2.52','-3.26','2','12',373,-184,'28','117','15.62'
'ETH-USD','5m','-,QRJ-','2021-08-01','2021-09-25','297','-10.95','-15.36',-53,'28','-1.45','-3.45','4','12',515,-240,'84','213','15.62'
'ETH-USD','5m','?7(.oO','2021-08-01','2021-09-25','15','-1.98','-3.46',-12,'73','-1.6','-3.54','6','2',32,-204,'11','4','15.62'
'ETH-USD','5m','0+XeWF','2021-08-01','2021-09-25','104','-9.53','-12.13',-48,'28','-1.97','-3.95','3','10',760,-251,'29','75','15.62'
'ETH-USD','5m','H+AUgN','2021-08-01','2021-09-25','16','-7.49','-9.09',-40,'31','-3.68','-4.38','2','5',124,-248,'5','11','15.62'
