'Time','BNB-USDT','ETH-USDT','BTC-USDT','NEO-USDT','QTUM-USDT','LTC-USDT','ETC-USDT','TRX-USDT','FIL-USDT','LINK-USDT','ADA-USDT','XRP-USDT','DOGE-USDT','Mean'
'20/02/2021',4.116,4.191,4.093,4.093,4.12,4.093,4.12,4.163,4.093,4.093,4.093,4.093,4.093,4.112,0.004,0.079,-0.019,-0.019,0.008,-0.019,0.008,0.051,-0.019,-0.019,-0.019,-0.019,-0.019,1.023,1.098,1.0,1.0,1.027,1.0,1.027,1.07,1.0,1.0,1.0,1.0,1.0,13.245
'21/02/2021',4.084,4.191,4.093,4.191,4.12,4.191,4.191,4.191,4.191,4.191,4.191,4.093,4.093,4.155,-0.071,0.036,-0.062,0.036,-0.035,0.036,0.036,0.036,0.036,0.036,0.036,-0.062,-0.062,1.0,1.107,1.009,1.107,1.036,1.107,1.107,1.107,1.107,1.107,1.107,1.009,1.009,13.919
'22/02/2021',4.084,4.028,4.084,4.191,4.084,4.191,4.191,4.084,4.191,4.191,4.191,4.093,4.084,4.13,-0.046,-0.102,-0.046,0.061,-0.046,0.061,0.061,-0.046,0.061,0.061,0.061,-0.037,-0.046,1.056,1.0,1.056,1.163,1.056,1.163,1.163,1.056,1.163,1.163,1.163,1.065,1.056,14.323
'23/02/2021',4.019,4.019,4.084,4.191,4.028,4.191,4.191,4.028,4.028,4.028,4.191,4.093,4.084,4.09,-0.071,-0.071,-0.006,0.101,-0.062,0.101,0.101,-0.062,-0.062,-0.062,0.101,0.003,-0.006,1.0,1.0,1.065,1.172,1.009,1.172,1.172,1.009,1.009,1.009,1.172,1.074,1.065,13.928
'24/02/2021',4.019,4.019,4.084,4.191,4.028,4.019,4.191,4.019,4.028,4.028,4.191,4.093,4.084,4.076,-0.057,-0.057,0.008,0.115,-0.048,-0.057,0.115,-0.057,-0.048,-0.048,0.115,0.017,0.008,1.0,1.0,1.065,1.172,1.009,1.0,1.172,1.0,1.009,1.009,1.172,1.074,1.065,13.747
'25/02/2021',4.019,4.019,4.084,4.191,4.028,4.019,4.191,4.019,4.028,4.028,4.191,4.093,4.084,4.076,-0.057,-0.057,0.008,0.115,-0.048,-0.057,0.115,-0.057,-0.048,-0.048,0.115,0.017,0.008,1.0,1.0,1.065,1.172,1.009,1.0,1.172,1.0,1.009,1.009,1.172,1.074,1.065,13.747
'26/02/2021',4.019,3.935,4.084,4.191,4.028,4.019,3.937,3.937,4.028,4.028,4.191,4.093,4.084,4.044,-0.025,-0.109,0.04,0.147,-0.016,-0.025,-0.107,-0.107,-0.016,-0.016,0.147,0.049,0.04,1.084,1.0,1.149,1.256,1.093,1.084,1.002,1.002,1.093,1.093,1.256,1.158,1.149,14.419
'27/02/2021',3.879,3.879,3.935,3.935,4.028,3.935,3.935,3.935,3.935,4.028,3.935,3.935,4.084,3.952,-0.073,-0.073,-0.017,-0.017,0.076,-0.017,-0.017,-0.017,-0.017,0.076,-0.017,-0.017,0.132,1.0,1.0,1.056,1.056,1.149,1.056,1.056,1.056,1.056,1.149,1.056,1.056,1.205,13.951
'28/02/2021',3.879,3.805,3.879,3.935,3.879,3.879,3.879,3.879,3.879,3.879,3.879,3.879,4.084,3.894,-0.015,-0.089,-0.015,0.041,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,0.19,1.074,1.0,1.074,1.13,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.279,14.149
'01/03/2021',3.879,3.805,3.805,3.805,3.879,3.805,3.879,3.879,3.879,3.879,3.879,3.805,3.805,3.845,0.034,-0.04,-0.04,-0.04,0.034,-0.04,0.034,0.034,0.034,0.034,0.034,-0.04,-0.04,1.074,1.0,1.0,1.0,1.074,1.0,1.074,1.074,1.074,1.074,1.074,1.0,1.0,13.518
'02/03/2021',3.879,3.805,3.805,3.806,3.806,3.806,3.879,3.806,3.879,3.806,3.879,3.805,3.805,3.828,0.051,-0.023,-0.023,-0.022,-0.022,-0.022,0.051,-0.022,0.051,-0.022,0.051,-0.023,-0.023,1.074,1.0,1.0,1.001,1.001,1.001,1.074,1.001,1.074,1.001,1.074,1.0,1.0,13.301
'03/03/2021',3.714,3.805,3.805,3.806,3.806,3.806,3.879,3.806,3.769,3.806,3.769,3.805,3.805,3.799,-0.085,0.006,0.006,0.007,0.007,0.007,0.08,0.007,-0.03,0.007,-0.03,0.006,0.006,1.0,1.091,1.091,1.092,1.092,1.092,1.165,1.092,1.055,1.092,1.055,1.091,1.091,14.099
'04/03/2021',3.711,3.805,3.805,3.806,3.714,3.806,3.879,3.714,3.714,3.806,3.714,3.805,3.805,3.776,-0.065,0.029,0.029,0.03,-0.062,0.03,0.103,-0.062,-0.062,0.03,-0.062,0.029,0.029,1.0,1.094,1.094,1.095,1.003,1.095,1.168,1.003,1.003,1.095,1.003,1.094,1.094,13.841
'05/03/2021',3.649,3.649,3.711,3.711,3.711,3.711,3.879,3.714,3.714,3.806,3.711,3.711,3.711,3.722,-0.073,-0.073,-0.011,-0.011,-0.011,-0.011,0.157,-0.008,-0.008,0.084,-0.011,-0.011,-0.011,1.0,1.0,1.062,1.062,1.062,1.062,1.23,1.065,1.065,1.157,1.062,1.062,1.062,13.951
'06/03/2021',3.62,3.649,3.711,3.711,3.649,3.649,3.649,3.714,3.649,3.806,3.711,3.649,3.649,3.678,-0.058,-0.029,0.033,0.033,-0.029,-0.029,-0.029,0.036,-0.029,0.128,0.033,-0.029,-0.029,1.0,1.029,1.091,1.091,1.029,1.029,1.029,1.094,1.029,1.186,1.091,1.029,1.029,13.756
'07/03/2021',3.564,3.649,3.62,3.711,3.649,3.649,3.62,3.62,3.649,3.806,3.62,3.62,3.649,3.648,-0.084,0.001,-0.028,0.063,0.001,0.001,-0.028,-0.028,0.001,0.158,-0.028,-0.028,0.001,1.0,1.085,1.056,1.147,1.085,1.085,1.056,1.056,1.085,1.242,1.056,1.056,1.085,14.094
'08/03/2021',3.564,3.649,3.564,3.564,3.564,3.564,3.564,3.564,3.564,3.564,3.564,3.62,3.649,3.581,-0.017,0.068,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,0.039,0.068,1.0,1.085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.056,1.085,13.226
'09/03/2021',3.526,3.526,3.564,3.541,3.564,3.541,3.564,3.541,3.541,3.541,3.541,3.62,3.541,3.55,-0.024,-0.024,0.014,-0.009,0.014,-0.009,0.014,-0.009,-0.009,-0.009,-0.009,0.07,-0.009,1.0,1.0,1.038,1.015,1.038,1.015,1.038,1.015,1.015,1.015,1.015,1.094,1.015,13.313
'10/03/2021',3.526,3.524,3.526,3.526,3.526,3.526,3.526,3.541,3.526,3.526,3.541,3.526,3.541,3.529,-0.003,-0.005,-0.003,-0.003,-0.003,-0.003,-0.003,0.012,-0.003,-0.003,0.012,-0.003,0.012,1.002,1.0,1.002,1.002,1.002,1.002,1.002,1.017,1.002,1.002,1.017,1.002,1.017,13.069
'11/03/2021',3.45,3.45,3.526,3.526,3.526,3.524,3.526,3.541,3.526,3.526,3.524,3.526,3.524,3.515,-0.065,-0.065,0.011,0.011,0.011,0.009,0.011,0.026,0.011,0.011,0.009,0.011,0.009,1.0,1.0,1.076,1.076,1.076,1.074,1.076,1.091,1.076,1.076,1.074,1.076,1.074,13.845
'12/03/2021',3.45,3.408,3.45,3.45,3.526,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.453,-0.003,-0.045,-0.003,-0.003,0.073,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,1.042,1.0,1.042,1.042,1.118,1.042,1.042,1.042,1.042,1.042,1.042,1.042,1.042,13.58
'13/03/2021',3.394,3.408,3.408,3.408,3.526,3.45,3.408,3.408,3.408,3.408,3.45,3.45,3.408,3.426,-0.032,-0.018,-0.018,-0.018,0.1,0.024,-0.018,-0.018,-0.018,-0.018,0.024,0.024,-0.018,1.0,1.014,1.014,1.014,1.132,1.056,1.014,1.014,1.014,1.014,1.056,1.056,1.014,13.412
'14/03/2021',3.394,3.375,3.394,3.408,3.526,3.394,3.408,3.408,3.408,3.408,3.45,3.45,3.394,3.417,-0.023,-0.042,-0.023,-0.009,0.109,-0.023,-0.009,-0.009,-0.009,-0.009,0.033,0.033,-0.023,1.019,1.0,1.019,1.033,1.151,1.019,1.033,1.033,1.033,1.033,1.075,1.075,1.019,13.542
'15/03/2021',3.349,3.375,3.375,3.375,3.375,3.394,3.408,3.375,3.408,3.375,3.45,3.375,3.375,3.385,-0.036,-0.01,-0.01,-0.01,-0.01,0.009,0.023,-0.01,0.023,-0.01,0.065,-0.01,-0.01,1.0,1.026,1.026,1.026,1.026,1.045,1.059,1.026,1.059,1.026,1.101,1.026,1.026,13.472
'16/03/2021',3.349,3.315,3.349,3.375,3.349,3.394,3.408,3.375,3.408,3.349,3.349,3.375,3.375,3.367,-0.018,-0.052,-0.018,0.008,-0.018,0.027,0.041,0.008,0.041,-0.018,-0.018,0.008,0.008,1.034,1.0,1.034,1.06,1.034,1.079,1.093,1.06,1.093,1.034,1.034,1.06,1.06,13.675
'17/03/2021',3.349,3.295,3.315,3.315,3.315,3.315,3.408,3.315,3.408,3.315,3.315,3.315,3.375,3.335,0.014,-0.04,-0.02,-0.02,-0.02,-0.02,0.073,-0.02,0.073,-0.02,-0.02,-0.02,0.04,1.054,1.0,1.02,1.02,1.02,1.02,1.113,1.02,1.113,1.02,1.02,1.02,1.08,13.52
'18/03/2021',3.331,3.295,3.295,3.295,3.295,3.295,3.295,3.315,3.408,3.295,3.315,3.315,3.295,3.311,0.02,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,0.004,0.097,-0.016,0.004,0.004,-0.016,1.036,1.0,1.0,1.0,1.0,1.0,1.0,1.02,1.113,1.0,1.02,1.02,1.0,13.209
