['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETH-USD', '5m', ':2]?5Z', '2021-04-01', '2021-10-01', '330', '33.54', '-17.0', 78, '37', '0.88', '1.61', '4.66', '6', '10', 561, -402, '121', '209', '54.76']
['ETH-USD', '5m', ':2G?5`', '2021-04-01', '2021-10-01', '260', '70.33', '-11.0', 189, '41', '5.81', '3.34', '16.78', '6', '7', 459, -451, '106', '154', '54.76']
['ETH-USD', '5m', ':2b85_', '2021-04-01', '2021-10-01', '273', '70.65', '-12.0', 190, '40', '4.66', '2.94', '16.2', '6', '9', 602, -560, '109', '164', '54.76']
['ETH-USD', '5m', ':2D?5`', '2021-04-01', '2021-10-01', '260', '81.23', '-8.0', 227, '42', '8.89', '3.73', '28.0', '6', '7', 456, -474, '108', '152', '54.76']
['ETH-USD', '5m', 'C3<j,o', '2021-04-01', '2021-10-01', '214', '30.18', '-20.0', 69, '42', '0.63', '1.62', '3.48', '8', '8', 637, -322, '90', '124', '54.76']
['ETH-USD', '5m', 'basX([', '2021-04-01', '2021-10-01', '92', '7.66', '-17.0', 16, '30', '0.14', '0.55', '0.91', '3', '7', 1173, -1082, '28', '64', '54.76']
['ETH-USD', '5m', ':2<H-i', '2021-04-01', '2021-10-01', '320', '59.4', '-9.0', 153, '37', '5.04', '2.83', '16.74', '6', '8', 407, -390, '118', '202', '54.76']
['ETH-USD', '5m', 'f3<I5i', '2021-04-01', '2021-10-01', '74', '35.6', '-8.0', 84, '50', '2.62', '2.82', '10.52', '6', '6', 354, -390, '37', '37', '54.76']
['ETH-USD', '5m', 'I3Jl;o', '2021-04-01', '2021-10-01', '33', '6.95', '-7.0', 14, '48', '0.41', '0.99', '2.08', '7', '3', 702, -391, '16', '17', '54.76']
['ETH-USD', '5m', ':o*.2*', '2021-04-01', '2021-10-01', '221', '9.78', '-8.0', 20, '74', '0.67', '1.35', '2.44', '16', '5', 42, -362, '163', '58', '54.76']
['ETH-USD', '5m', ':2d95Z', '2021-04-01', '2021-10-01', '330', '45.24', '-17.0', 111, '37', '1.28', '2.02', '6.58', '6', '10', 572, -465, '122', '208', '54.76']
['ETH-USD', '5m', ':2\\85Z', '2021-04-01', '2021-10-01', '331', '52.91', '-18.0', 133, '37', '1.02', '2.38', '7.23', '6', '10', 519, -458, '124', '207', '54.76']
['ETH-USD', '5m', ':2b85Z', '2021-04-01', '2021-10-01', '330', '47.52', '-17.0', 117, '37', '1.29', '2.12', '6.98', '6', '10', 548, -471, '122', '208', '54.76']
['ETH-USD', '5m', ':2S?5Z', '2021-04-01', '2021-10-01', '330', '46.04', '-17.0', 113, '37', '1.05', '2.17', '6.6', '6', '10', 536, -422, '122', '208', '54.76']
['ETH-USD', '5m', ':2V95Z', '2021-04-01', '2021-10-01', '331', '52.18', '-15.0', 131, '37', '1.5', '2.42', '8.77', '6', '10', 468, -436, '124', '207', '54.76']
['ETH-USD', '5m', ':2X?5Z', '2021-04-01', '2021-10-01', '330', '46.48', '-17.0', 114, '37', '1.27', '2.06', '6.85', '6', '10', 576, -433, '122', '208', '54.76']
['ETH-USD', '5m', ':2k35Z', '2021-04-01', '2021-10-01', '330', '51.55', '-17.0', 129, '37', '1.26', '2.33', '7.58', '6', '10', 537, -514, '122', '208', '54.76']
['ETH-USD', '5m', ':2T?5Z', '2021-04-01', '2021-10-01', '330', '40.08', '-17.0', 96, '37', '0.93', '1.92', '5.74', '6', '10', 519, -407, '121', '209', '54.76']
['ETH-USD', '5m', ':2u15Z', '2021-04-01', '2021-10-01', '330', '50.06', '-17.0', 125, '37', '1.29', '2.27', '7.43', '6', '10', 538, -539, '122', '208', '54.76']
['ETH-USD', '5m', ':2r15Z', '2021-04-01', '2021-10-01', '330', '52.44', '-18.0', 132, '37', '1.24', '2.35', '7.42', '6', '10', 518, -522, '123', '207', '54.76']
['ETH-USD', '5m', '^2QH5i', '2021-04-01', '2021-10-01', '92', '69.43', '-9.0', 186, '48', '5.95', '3.6', '20.43', '4', '6', 727, -462, '44', '48', '54.76']
['ETH-USD', '5m', ':2D?7Z', '2021-04-01', '2021-10-01', '297', '83.03', '-9.0', 234, '40', '7.28', '3.67', '25.49', '6', '9', 460, -480, '118', '179', '54.76']
['ETH-USD', '5m', 'SA^CwJ', '2021-04-01', '2021-10-01', '86', '56.4', '-9.0', 144, '45', '6.5', '2.97', '16.24', '3', '4', 736, -473, '39', '47', '54.76']
['ETH-USD', '5m', ':2J?5Z', '2021-04-01', '2021-10-01', '331', '57.67', '-12.0', 148, '37', '2.19', '2.65', '11.9', '6', '10', 461, -420, '123', '208', '54.76']
['ETH-USD', '5m', ':2P?5Z', '2021-04-01', '2021-10-01', '330', '39.25', '-17.0', 94, '37', '0.81', '1.93', '5.47', '6', '10', 469, -383, '122', '208', '54.76']
['ETH-USD', '5m', '15=lw>', '2021-04-01', '2021-10-01', '504', '69.94', '-15.0', 188, '32', '3.49', '2.47', '12.38', '5', '12', 843, -364, '162', '342', '54.76']
['ETH-USD', '5m', ':2O?5Z', '2021-04-01', '2021-10-01', '331', '38.5', '-18.0', 91, '37', '0.72', '1.91', '5.15', '6', '10', 465, -381, '122', '209', '54.76']
['ETH-USD', '5m', 'L`jS:f', '2021-04-01', '2021-10-01', '61', '-0.88', '-10.0', -2, '34', '-0.04', '0.11', '-0.17', '2', '8', 801, -287, '21', '40', '54.76']
