'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'KNC-USDT','5m','KNC-USDT','2021-06-01','2021-10-01','40','-4.84','-29.0',-10,'50','-0.02','-0.03','-0.34','2','4',759,-896,'20','20','-11.24'
'THETA-USDT','5m','THETA-USDT','2021-06-01','2021-10-01','36','-4.29','-30.0',-12,'53','-0.02','-0.17','-0.41','6','6',542,-687,'19','17','-28.28'
'LIT-USDT','5m','LIT-USDT','2021-06-01','2021-10-01','38','-5.61','-19.0',-8,'50','-0.05','0.11','-0.44','4','3',668,-999,'19','19','-9.68'
'SRM-USDT','5m','SRM-USDT','2021-06-01','2021-10-01','40','-8.09','-36.0',-17,'62','-0.03','-0.19','-0.46','10','4',768,-1214,'25','15','57.8'
'FLM-USDT','5m','FLM-USDT','2021-06-01','2021-10-01','30','-4.94','-22.0',-14,'57','-0.08','-0.12','-0.64','5','3',631,-662,'17','13','-20.45'
'MKR-USDT','5m','MKR-USDT','2021-06-01','2021-10-01','50','-7.43','-20.0',-16,'64','-0.09','-0.25','-0.8','11','3',610,-532,'32','18','-35.83'
'ATOM-USDT','5m','ATOM-USDT','2021-06-01','2021-10-01','44','-12.86','-28.0',-23,'55','-0.09','-0.49','-0.83','5','8',736,-1044,'24','20','160.28'
'GRT-USDT','5m','GRT-USDT','2021-06-01','2021-10-01','45','-6.5','-21.0',-18,'58','-0.1','-0.22','-0.87','7','4',645,-974,'26','19','-18.04'
'ANKR-USDT','5m','ANKR-USDT','2021-06-01','2021-10-01','33','-9.62','-30.0',-26,'58','-0.07','-0.46','-0.88','5','4',549,-639,'19','14','-24.86'
'STMX-USDT','5m','STMX-USDT','2021-06-01','2021-10-01','33','-12.34','-29.0',-27,'48','-0.04','-0.6','-0.92','4','4',720,-622,'16','17','1.76'
'SFP-USDT','5m','SFP-USDT','2021-06-01','2021-10-01','44','-14.78','-39.0',-38,'50','-0.07','-0.92','-0.97','4','7',863,-1182,'22','22','-18.19'
'AXS-USDT','5m','AXS-USDT','2021-06-01','2021-10-01','40','-34.33','-51.0',-57,'45','-0.05','-1.42','-1.13','6','6',929,-1428,'18','22','1423.59'
'BLZ-USDT','5m','BLZ-USDT','2021-06-01','2021-10-01','37','-21.38','-37.0',-43,'51','-0.08','-1.06','-1.17','4','3',743,-1307,'19','18','-3.8'
'TOMO-USDT','5m','TOMO-USDT','2021-06-01','2021-10-01','39','-12.53','-21.0',-25,'51','-0.1','-0.6','-1.19','3','3',664,-821,'20','19','42.53'
'TRB-USDT','5m','TRB-USDT','2021-06-01','2021-10-01','36','-19.53','-35.0',-42,'47','-0.06','-1.15','-1.19','5','4',747,-1016,'17','19','-30.7'
'NEAR-USDT','5m','NEAR-USDT','2021-06-01','2021-10-01','42','-27.65','-35.0',-44,'57','-0.12','-0.96','-1.25','5','3',777,-3028,'24','18','108.06'
'WAVES-USDT','5m','WAVES-USDT','2021-06-01','2021-10-01','42','-10.91','-21.0',-27,'48','-0.1','-0.53','-1.26','3','6',681,-702,'20','22','77.96'
'KAVA-USDT','5m','KAVA-USDT','2021-06-01','2021-10-01','38','-12.79','-23.0',-29,'55','-0.1','-0.46','-1.29','3','3',688,-659,'21','17','51.05'
'LINA-USDT','5m','LINA-USDT','2021-06-01','2021-10-01','35','-20.12','-36.0',-49,'49','-0.07','-1.02','-1.36','3','4',691,-971,'17','18','-20.48'
'YFII-USDT','5m','YFII-USDT','2021-06-01','2021-10-01','44','-23.03','-38.0',-52,'52','-0.09','-1.47','-1.36','6','4',763,-1676,'23','21','115.2'
'EGLD-USDT','5m','EGLD-USDT','2021-06-01','2021-10-01','30','-10.63','-21.0',-29,'50','-0.1','-0.86','-1.37','3','3',682,-661,'15','15','103.74'
'MTL-USDT','5m','MTL-USDT','2021-06-01','2021-10-01','36','-21.85','-34.0',-50,'56','-0.07','-1.38','-1.45','5','4',746,-885,'20','16','29.48'
'LRC-USDT','5m','LRC-USDT','2021-06-01','2021-10-01','38','-21.33','-32.0',-47,'50','-0.14','-1.0','-1.49','3','4',482,-1173,'19','19','-0.11'
'SOL-USDT','5m','SOL-USDT','2021-06-01','2021-10-01','36','-10.99','-15.0',-23,'47','-0.08','-0.81','-1.54','2','2',584,-569,'17','19','334.37'
'YFI-USDT','5m','YFI-USDT','2021-06-01','2021-10-01','41','-10.68','-18.0',-29,'59','-0.19','-1.01','-1.55','7','3',641,-465,'24','17','-37.37'
'SNX-USDT','5m','SNX-USDT','2021-06-01','2021-10-01','45','-23.92','-32.0',-51,'53','-0.08','-1.35','-1.58','4','4',685,-619,'24','21','-27.63'
'ETC-USDT','5m','ETC-USDT','2021-06-01','2021-10-01','37','-15.73','-21.0',-35,'54','-0.13','-1.09','-1.66','5','5',657,-665,'20','17','-32.43'
'BZRX-USDT','5m','BZRX-USDT','2021-06-01','2021-10-01','29','-40.07','-46.0',-77,'41','-0.09','-3.07','-1.66','3','6',678,-797,'12','17','-18.12'
'CVC-USDT','5m','CVC-USDT','2021-06-01','2021-10-01','38','-27.68','-32.0',-55,'42','-0.09','-1.5','-1.69','3','6',572,-875,'16','22','30.78'
'HNT-USDT','5m','HNT-USDT','2021-06-01','2021-10-01','50','-18.84','-23.0',-40,'52','-0.13','-1.07','-1.72','5','4',590,-711,'26','24','7.42'
'OCEAN-USDT','5m','OCEAN-USDT','2021-06-01','2021-10-01','39','-26.96','-35.0',-61,'44','-0.06','-2.32','-1.76','3','4',607,-532,'17','22','6.97'
'DASH-USDT','5m','DASH-USDT','2021-06-01','2021-10-01','40','-30.03','-34.0',-64,'50','-0.12','-2.36','-1.86','4','4',633,-1377,'20','20','-15.41'
'RLC-USDT','5m','RLC-USDT','2021-06-01','2021-10-01','30','-30.06','-33.0',-66,'40','-0.07','-2.59','-2.01','2','6',627,-659,'12','18','-28.29'
'SKL-USDT','5m','SKL-USDT','2021-06-01','2021-10-01','46','-19.24','-19.0',-38,'48','-0.27','-0.91','-2.05','3','3',627,-630,'22','24','-34.87'
'ICX-USDT','5m','ICX-USDT','2021-06-01','2021-10-01','30','-25.48','-28.0',-57,'43','-0.1','-2.17','-2.06','3','3',541,-718,'13','17','35.66'
'BEL-USDT','5m','BEL-USDT','2021-06-01','2021-10-01','38','-28.73','-31.0',-64,'42','-0.27','-1.7','-2.08','4','6',618,-720,'16','22','-24.07'
'MANA-USDT','5m','MANA-USDT','2021-06-01','2021-10-01','30','-32.98','-31.0',-67,'37','-0.09','-3.37','-2.16','2','3',294,-547,'11','19','-18.31'
'NKN-USDT','5m','NKN-USDT','2021-06-01','2021-10-01','34','-29.56','-26.0',-58,'47','-0.29','-1.33','-2.18','5','4',628,-689,'16','18','-20.32'
