'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'DASH-USDT','5m','DASH-USDT','2021-08-01','2021-10-01','20','-36.36','-38.0',-86,'75','-2.48','-2.28','6','2',170,-2686,'15','5','1.08'
'SFP-USDT','5m','SFP-USDT','2021-08-01','2021-10-01','35','-35.11','-25.0',-58,'71','-1.07','-2.3','9','3',149,-1210,'25','10','-8.49'
'CVC-USDT','5m','CVC-USDT','2021-08-01','2021-10-01','22','-51.51','-36.0',-84,'73','-1.84','-2.32','7','2',163,-2300,'16','6','53.31'
'KAVA-USDT','5m','KAVA-USDT','2021-08-01','2021-10-01','25','-55.49','-39.0',-90,'72','-2.65','-2.33','7','2',165,-2580,'18','7','2.92'
'ANKR-USDT','5m','ANKR-USDT','2021-08-01','2021-10-01','18','-42.21','-40.0',-94,'67','-3.01','-2.36','6','2',98,-2123,'12','6','-6.77'
'REN-USDT','5m','REN-USDT','2021-08-01','2021-10-01','27','-47.99','-35.0',-83,'67','-1.51','-2.37','10','3',134,-1308,'18','9','113.73'
'NEO-USDT','5m','NEO-USDT','2021-08-01','2021-10-01','15','-17.9','-25.0',-59,'73','-1.71','-2.37','4','1',158,-1422,'11','4','-14.32'
'UNFI-USDT','5m','UNFI-USDT','2021-08-01','2021-10-01','27','-29.23','-30.0',-71,'78','-1.37','-2.38','6','1',154,-1810,'21','6','-9.56'
'BAND-USDT','5m','BAND-USDT','2021-08-01','2021-10-01','30','-36.81','-36.0',-87,'70','-2.3','-2.41','11','4',149,-1290,'21','9','10.0'
'IOST-USDT','5m','IOST-USDT','2021-08-01','2021-10-01','20','-61.4','-36.0',-89,'55','-3.1','-2.44','4','3',154,-1434,'11','9','100.18'
'AXS-USDT','5m','AXS-USDT','2021-08-01','2021-10-01','15','-32.06','-27.0',-66,'67','-1.87','-2.46','6','2',161,-1556,'10','5','76.05'
'ONT-USDT','5m','ONT-USDT','2021-08-01','2021-10-01','19','-18.03','-16.0',-38,'74','-0.73','-2.46','4','2',156,-1664,'14','5','-9.07'
