'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BTC-USDT','1h','9.<b','2021-04-01','2021-08-01','52','27.08','-16.19',104,'50','1.58','6.4','6','4',181,-82,'26','26','-29.61'
'BTC-USDT','1h','>)lp','2021-04-01','2021-08-01','94','22.24','-12.76',81,'41','1.3','6.39','4','4',200,-63,'39','55','-29.61'
'BTC-USDT','1h','>)lo','2021-04-01','2021-08-01','94','22.24','-12.76',81,'41','1.3','6.39','4','4',200,-63,'39','55','-29.61'
'BTC-USDT','1h','?._s','2021-04-01','2021-08-01','42','31.91','-20.14',127,'50','1.79','6.33','3','4',185,-78,'21','21','-29.61'
'BTC-USDT','1h','?.^s','2021-04-01','2021-08-01','42','31.91','-20.14',127,'50','1.79','6.33','3','4',185,-78,'21','21','-29.61'
'BTC-USDT','1h','?.Uv','2021-04-01','2021-08-01','42','32.09','-20.28',128,'50','1.75','6.33','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.Uu','2021-04-01','2021-08-01','42','32.09','-20.28',128,'50','1.75','6.33','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','7.Tg','2021-04-01','2021-08-01','52','27.21','-16.47',104,'50','1.58','6.33','6','4',181,-67,'26','26','-29.61'
'BTC-USDT','1h','7.Th','2021-04-01','2021-08-01','52','27.21','-16.47',104,'50','1.58','6.33','6','4',181,-67,'26','26','-29.61'
'BTC-USDT','1h','?.Nu','2021-04-01','2021-08-01','42','32.35','-20.52',130,'50','1.76','6.32','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.Ou','2021-04-01','2021-08-01','42','32.35','-20.52',130,'50','1.76','6.32','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?)or','2021-04-01','2021-08-01','94','22.26','-12.91',82,'41','1.3','6.32','4','4',200,-61,'39','55','-29.61'
'BTC-USDT','1h','?.\\s','2021-04-01','2021-08-01','42','31.68','-20.16',126,'50','1.78','6.26','3','4',185,-78,'21','21','-29.61'
'BTC-USDT','1h','?)qr','2021-04-01','2021-08-01','94','22.46','-13.72',82,'43','1.31','6.01','4','4',200,-57,'40','54','-29.61'
'BTC-USDT','1h','7.4g','2021-04-01','2021-08-01','52','26.34','-16.78',100,'50','1.53','5.97','6','4',181,-82,'26','26','-29.61'
'BTC-USDT','1h','>)lt','2021-04-01','2021-08-01','94','20.43','-12.72',74,'41','1.22','5.79','4','4',200,-55,'39','55','-29.61'
'BTC-USDT','1h','7.9c','2021-04-01','2021-08-01','52','24.97','-16.46',94,'50','1.48','5.7','6','4',181,-82,'26','26','-29.61'
'BTC-USDT','1h','?)ov','2021-04-01','2021-08-01','94','19.72','-12.67',71,'41','1.19','5.57','4','4',200,-66,'39','55','-29.61'
'BTC-USDT','1h','?)hr','2021-04-01','2021-08-01','94','18.96','-12.84',67,'40','1.16','5.25','4','4',200,-72,'38','56','-29.61'
'BTC-USDT','1h','>*fM','2021-04-01','2021-08-01','80','35.5','-27.92',146,'41','1.98','5.24','7','8',218,-47,'33','47','-29.61'
'BTC-USDT','1h','>*l>','2021-04-01','2021-08-01','80','22.45','-16.06',82,'44','1.67','5.13','4','7',129,-34,'35','45','-29.61'
'BTC-USDT','1h','7.vr','2021-04-01','2021-08-01','52','23.65','-17.24',88,'48','1.43','5.09','5','4',183,-76,'25','27','-29.61'
'BTC-USDT','1h','?.r','2021-04-01','2021-08-01','42','26.52','-20.02',101,'50','1.56','5.04','3','4',185,-76,'21','21','-29.61'
'BTC-USDT','1h','8.7g','2021-04-01','2021-08-01','52','22.75','-17.01',84,'50','1.36','4.92','6','4',181,-82,'26','26','-29.61'
'BTC-USDT','1h',':.7g','2021-04-01','2021-08-01','52','22.75','-17.01',84,'50','1.36','4.92','6','4',181,-82,'26','26','-29.61'
'BTC-USDT','1h','7.7g','2021-04-01','2021-08-01','52','22.75','-17.01',84,'50','1.36','4.92','6','4',181,-82,'26','26','-29.61'
'BTC-USDT','1h','?.Xs','2021-04-01','2021-08-01','42','25.99','-20.05',99,'50','1.54','4.91','3','4',185,-77,'21','21','-29.61'
'BTC-USDT','1h','?.Zs','2021-04-01','2021-08-01','42','25.88','-20.19',98,'50','1.52','4.85','3','4',185,-78,'21','21','-29.61'
'BTC-USDT','1h','?.Vs','2021-04-01','2021-08-01','42','25.44','-20.0',96,'50','1.51','4.8','3','4',185,-76,'21','21','-29.61'
'BTC-USDT','1h','?.Ws','2021-04-01','2021-08-01','42','25.44','-20.0',96,'50','1.51','4.8','3','4',185,-76,'21','21','-29.61'
'BTC-USDT','1h','>*lM','2021-04-01','2021-08-01','80','28.52','-23.14',111,'39','1.71','4.78','7','8',220,-47,'31','49','-29.61'
'BTC-USDT','1h','>*mM','2021-04-01','2021-08-01','80','28.52','-23.14',111,'39','1.71','4.78','7','8',220,-47,'31','49','-29.61'
'BTC-USDT','1h','>*lN','2021-04-01','2021-08-01','80','28.52','-23.14',111,'39','1.71','4.78','7','8',220,-47,'31','49','-29.61'
'BTC-USDT','1h','6*g3','2021-04-01','2021-08-01','108','19.0','-14.2',68,'40','1.5','4.76','6','8',127,-51,'43','65','-29.61'
'BTC-USDT','1h','?)=r','2021-04-01','2021-08-01','94','19.94','-15.04',72,'41','1.16','4.75','4','4',200,-65,'39','55','-29.61'
'BTC-USDT','1h','?.Rs','2021-04-01','2021-08-01','42','25.02','-20.14',94,'50','1.49','4.67','3','4',185,-78,'21','21','-29.61'
'BTC-USDT','1h','?)ar','2021-04-01','2021-08-01','94','17.15','-12.85',60,'39','1.08','4.66','3','5',200,-58,'37','57','-29.61'
'BTC-USDT','1h','?.Us','2021-04-01','2021-08-01','42','24.81','-20.04',93,'50','1.48','4.64','3','4',185,-77,'21','21','-29.61'
'BTC-USDT','1h','?.Ts','2021-04-01','2021-08-01','42','24.81','-20.04',93,'50','1.48','4.64','3','4',185,-77,'21','21','-29.61'
'BTC-USDT','1h','?.Qs','2021-04-01','2021-08-01','42','24.89','-20.21',93,'50','1.49','4.62','3','4',185,-79,'21','21','-29.61'
'BTC-USDT','1h','7.Tw','2021-04-01','2021-08-01','52','19.82','-15.37',71,'46','1.24','4.62','4','4',181,-76,'24','28','-29.61'
'BTC-USDT','1h','7.9n','2021-04-01','2021-08-01','52','21.86','-17.34',80,'50','1.32','4.6','6','4',181,-82,'26','26','-29.61'
'BTC-USDT','1h','?)<g','2021-04-01','2021-08-01','94','18.2','-13.98',64,'41','1.09','4.6','4','4',200,-58,'39','55','-29.61'
'BTC-USDT','1h','7.9p','2021-04-01','2021-08-01','52','21.88','-17.51',80,'50','1.31','4.56','6','4',181,-82,'26','26','-29.61'
'BTC-USDT','1h','7.Mg','2021-04-01','2021-08-01','52','21.05','-16.92',76,'50','1.29','4.51','6','4',181,-82,'26','26','-29.61'
'BTC-USDT','1h','7.9i','2021-04-01','2021-08-01','52','21.11','-17.1',77,'50','1.28','4.48','6','4',181,-82,'26','26','-29.61'
'BTC-USDT','1h','?)cr','2021-04-01','2021-08-01','94','16.52','-12.87',57,'40','1.05','4.46','4','4',200,-74,'38','56','-29.61'
'BTC-USDT','1h','=*7,','2021-04-01','2021-08-01','86','18.33','-14.68',65,'44','1.65','4.41','3','10',66,-34,'38','48','-29.61'
