['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['FLM-USDT', '5m', 'FLM-USDT', '2021-08-01', '2021-10-01', '66', '-36.43', '-49.97', -93, '38', '-0.98', '-1.86', '3', '8', 790, -908, '25', '41', '-9.22']
['BTS-USDT', '5m', 'BTS-USDT', '2021-08-01', '2021-10-01', '58', '26.02', '-45.36', 290, '45', '1.7', '6.4', '7', '7', 1095, -872, '26', '32', '-7.06']
['MTL-USDT', '5m', 'MTL-USDT', '2021-08-01', '2021-10-01', '56', '-24.47', '-48.55', -81, '41', '-0.54', '-1.67', '3', '8', 1075, -2504, '23', '33', '29.69']
['RVN-USDT', '5m', 'RVN-USDT', '2021-08-01', '2021-10-01', '58', '-43.66', '-45.84', -97, '36', '-1.9', '-2.11', '3', '10', 675, -916, '21', '37', '45.72']
['ZIL-USDT', '5m', 'ZIL-USDT', '2021-08-01', '2021-10-01', '62', '-7.72', '-36.78', -38, '39', '0.22', '-1.02', '4', '6', 865, -884, '24', '38', '2.77']
['YFII-USDT', '5m', 'YFII-USDT', '2021-08-01', '2021-10-01', '67', '-70.93', '-75.78', -100, '30', '-4.48', '-1.32', '2', '10', 942, -2826, '20', '47', '14.7']
['ZRX-USDT', '5m', 'ZRX-USDT', '2021-08-01', '2021-10-01', '49', '111.12', '-24.46', 8038, '49', '4.42', '328.61', '5', '5', 1680, -1128, '24', '25', '11.04']
['LRC-USDT', '5m', 'LRC-USDT', '2021-08-01', '2021-10-01', '56', '-40.16', '-69.06', -95, '41', '-0.73', '-1.38', '5', '6', 999, -1864, '23', '33', '45.28']
['RSR-USDT', '5m', 'RSR-USDT', '2021-08-01', '2021-10-01', '63', '-5.29', '-28.54', -27, '44', '0.3', '-0.96', '4', '4', 1021, -1291, '28', '35', '-5.01']
['NKN-USDT', '5m', 'NKN-USDT', '2021-08-01', '2021-10-01', '62', '-2.71', '-55.9', -15, '44', '0.61', '-0.27', '4', '8', 1108, -1401, '27', '35', '12.97']
['SC-USDT', '5m', 'SC-USDT', '2021-08-01', '2021-10-01', '55', '88.47', '-12.92', 4073, '45', '4.44', '315.21', '3', '4', 1598, -1452, '25', '30', '-20.52']
['BAT-USDT', '5m', 'BAT-USDT', '2021-08-01', '2021-10-01', '47', '102.13', '-18.26', 6199, '47', '4.86', '339.44', '3', '3', 1613, -1350, '22', '25', '-10.28']
['ATA-USDT', '5m', 'ATA-USDT', '2021-08-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GTC-USDT', '5m', 'GTC-USDT', '2021-08-01', '2021-10-01', '63', '-10.64', '-54.99', -48, '48', '0.58', '-0.88', '4', '5', 1052, -2960, '30', '33', '-4.79']
['KNC-USDT', '5m', 'KNC-USDT', '2021-08-01', '2021-10-01', '53', '-19.28', '-53.07', -72, '38', '-0.29', '-1.35', '4', '9', 828, -765, '20', '33', '-8.52']
['XEM-USDT', '5m', 'XEM-USDT', '2021-08-01', '2021-10-01', '49', '78.44', '-22.71', 2924, '45', '3.68', '128.74', '6', '8', 1782, -1555, '22', '27', '-16.59']
['OCEAN-USDT', '5m', 'OCEAN-USDT', '2021-08-01', '2021-10-01', '62', '-38.17', '-57.77', -94, '35', '-1.59', '-1.63', '3', '8', 939, -1173, '22', '40', '31.2']
['CELO-USDT', '5m', 'CELO-USDT', '2021-08-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['UNFI-USDT', '5m', 'UNFI-USDT', '2021-08-01', '2021-10-01', '61', '-19.64', '-60.45', -72, '44', '-0.28', '-1.2', '5', '5', 1205, -1472, '27', '34', '-9.56']
['ANKR-USDT', '5m', 'ANKR-USDT', '2021-08-01', '2021-10-01', '51', '60.71', '-31.96', 1533, '51', '3.07', '47.97', '4', '4', 1230, -1307, '26', '25', '-6.77']
['DGB-USDT', '5m', 'DGB-USDT', '2021-08-01', '2021-10-01', '53', '-59.88', '-60.44', -100, '32', '-4.42', '-1.65', '2', '6', 763, -1138, '17', '36', '-2.82']
['DEFI-USDT', '5m', 'DEFI-USDT', '2021-08-01', '2021-10-01', '50', '-5.49', '-36.14', -28, '40', '0.18', '-0.78', '3', '4', 797, -833, '20', '30', '24.41']
['BTCDOM-USDT', '5m', 'BTCDOM-USDT', '2021-08-01', '2021-10-01', '27', '-8.27', '-13.06', -40, '22', '-0.59', '-3.05', '2', '5', 825, -369, '6', '21', '-9.75']
