'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'CHR-USDT','5m','CHR-USDT','2021-10-01','2021-12-19','28','-20.36','-20.84',-36,'46','-0.07','-1.05','-1.73','6','5',383,-708,'13','15','100.55'
'AAVE-USDT','5m','AAVE-USDT','2021-10-01','2021-12-19','13','-9.17','-15.16',-27,'46','-0.03','-1.48','-1.79','4','5',371,-391,'6','7','-30.13'
'HOT-USDT','5m','HOT-USDT','2021-10-01','2021-12-19','18','-17.54','-21.92',-40,'39','-0.05','-1.74','-1.85','2','6',318,-502,'7','11','-5.63'
'CHZ-USDT','5m','CHZ-USDT','2021-10-01','2021-12-19','14','-13.96','-17.57',-33,'36','-0.11','-1.4','-1.88','2','5',315,-430,'5','9','3.77'
'TRX-USDT','5m','TRX-USDT','2021-10-01','2021-12-19','12','-5.13','-9.76',-19,'42','-0.07','-1.23','-1.91','3','3',230,-395,'5','7','-10.09'
'THETA-USDT','5m','THETA-USDT','2021-10-01','2021-12-19','16','-11.02','-9.42',-18,'50','-0.24','-0.7','-1.91','2','2',308,-486,'8','8','-19.2'
'XLM-USDT','5m','XLM-USDT','2021-10-01','2021-12-19','12','-6.43','-10.46',-21,'50','-0.07','-1.16','-1.99','3','4',371,-677,'6','6','-8.45'
'AXS-USDT','5m','AXS-USDT','2021-10-01','2021-12-19','20','-17.06','-17.34',-37,'40','-0.05','-1.72','-2.13','2','5',385,-528,'8','12','29.12'
'GALA-USDT','5m','GALA-USDT','2021-10-01','2021-12-19','17','-23.51','-25.78',-55,'47','-0.08','-2.09','-2.14','3','4',333,-1438,'8','9','364.8'
'MANA-USDT','5m','MANA-USDT','2021-10-01','2021-12-19','13','-8.14','-14.32',-31,'54','-0.18','-1.12','-2.15','3','2',345,-590,'7','6','397.4'
'EGLD-USDT','5m','EGLD-USDT','2021-10-01','2021-12-19','16','-13.07','-16.19',-37,'44','-0.12','-1.17','-2.31','2','3',371,-645,'7','9','21.15'
'BEL-USDT','5m','BEL-USDT','2021-10-01','2021-12-19','29','-26.86','-15.74',-37,'34','-0.22','-1.22','-2.32','3','5',353,-757,'10','19','-12.66'
'ZIL-USDT','5m','ZIL-USDT','2021-10-01','2021-12-19','14','-20.46','-26.77',-62,'36','-0.06','-3.22','-2.33','3','5',371,-655,'5','9','-26.7'
'REEF-USDT','5m','REEF-USDT','2021-10-01','2021-12-19','18','-20.22','-21.25',-50,'39','-0.1','-2.32','-2.36','3','5',359,-739,'7','11','-9.01'
'DODO-USDT','5m','DODO-USDT','2021-10-01','2021-12-19','19','-28.27','-24.72',-59,'26','-0.06','-2.97','-2.37','2','7',371,-536,'5','14','-28.27'
'NEO-USDT','5m','NEO-USDT','2021-10-01','2021-12-19','9','-8.9','-11.73',-29,'33','-0.21','-1.4','-2.47','1','2',240,-414,'3','6','-34.01'
'COMP-USDT','5m','COMP-USDT','2021-10-01','2021-12-19','6','-3.17','-3.91',-10,'50','-0.57','-0.67','-2.48','2','1',240,-417,'3','3','-35.62'
'SXP-USDT','5m','SXP-USDT','2021-10-01','2021-12-19','18','-15.97','-14.6',-37,'33','-0.07','-1.77','-2.52','2','4',371,-506,'6','12','-32.68'
'SKL-USDT','5m','SKL-USDT','2021-10-01','2021-12-19','19','-21.26','-16.49',-42,'32','-0.08','-1.76','-2.53','2','6',371,-670,'6','13','-33.74'
'ANKR-USDT','5m','ANKR-USDT','2021-10-01','2021-12-19','22','-11.41','-11.92',-32,'50','-0.3','-1.28','-2.72','3','4',381,-583,'11','11','29.24'
'NKN-USDT','5m','NKN-USDT','2021-10-01','2021-12-19','22','-28.44','-17.66',-51,'32','-0.12','-2.42','-2.87','2','6',364,-624,'7','15','19.73'
'SRM-USDT','5m','SRM-USDT','2021-10-01','2021-12-19','13','-17.01','-12.09',-36,'31','-0.09','-2.41','-2.94','2','4',225,-382,'4','9','-53.24'
'COTI-USDT','5m','COTI-USDT','2021-10-01','2021-12-19','23','-24.71','-16.18',-48,'39','-0.16','-2.0','-2.98','2','4',348,-852,'9','14','-49.27'
'C98-USDT','5m','C98-USDT','2021-10-01','2021-12-19','12','-23.58','-16.53',-52,'25','-0.1','-2.75','-3.16','2','4',211,-495,'3','9','-35.75'
'SUSHI-USDT','5m','SUSHI-USDT','2021-10-01','2021-12-19','20','-20.78','-13.95',-47,'45','-0.21','-1.86','-3.36','3','4',335,-616,'9','11','-44.81'
'RAY-USDT','5m','RAY-USDT','2021-10-01','2021-12-19','10','-13.13','-10.64',-38,'40','-0.13','-2.59','-3.57','1','2',222,-489,'4','6','-23.63'
'SNX-USDT','5m','SNX-USDT','2021-10-01','2021-12-19','8','-11.56','-6.63',-27,'25','-0.19','-2.12','-4.05','1','2',230,-432,'2','6','-45.93'
