'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Serenity','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'NEAR-USDT','5m','NEAR-USDT','2021-01-01','2021-12-19','68','-4.42','-24.63',2,'49','0.01','0.21','0.09','6','5',348,-511,'33','35','499.97'
'ICX-USDT','5m','ICX-USDT','2021-01-01','2021-12-19','73','-21.3','-26.38',0,'42','0.0','0.16','0.02','4','5',401,-554,'31','42','161.54'
'DYDX-USDT','5m','DYDX-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'LUNA-USDT','5m','LUNA-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'COTI-USDT','5m','COTI-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CELR-USDT','5m','CELR-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AXS-USDT','5m','AXS-USDT','2021-01-01','2021-12-19','80','-26.58','-27.79',0,'45','0.0','0.14','0.0','6','5',466,-658,'36','44','17742.48'
'ONE-USDT','5m','ONE-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ICP-USDT','5m','ICP-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ALICE-USDT','5m','ALICE-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BAKE-USDT','5m','BAKE-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'GALA-USDT','5m','GALA-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'IOTX-USDT','5m','IOTX-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C98-USDT','5m','C98-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TLM-USDT','5m','TLM-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'RAY-USDT','5m','RAY-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MASK-USDT','5m','MASK-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DODO-USDT','5m','DODO-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1000SHIB-USDT','5m','1000SHIB-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CHR-USDT','5m','CHR-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'HBAR-USDT','5m','HBAR-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SAND-USDT','5m','SAND-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DENT-USDT','5m','DENT-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1000XEC-USDT','5m','1000XEC-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CHZ-USDT','5m','CHZ-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AKRO-USDT','5m','AKRO-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MANA-USDT','5m','MANA-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'LINA-USDT','5m','LINA-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'HOT-USDT','5m','HOT-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SFP-USDT','5m','SFP-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'OGN-USDT','5m','OGN-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'KEEP-USDT','5m','KEEP-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AUDIO-USDT','5m','AUDIO-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BTT-USDT','5m','BTT-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'STMX-USDT','5m','STMX-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'LIT-USDT','5m','LIT-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'REEF-USDT','5m','REEF-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BTS-USDT','5m','BTS-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MTL-USDT','5m','MTL-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'RVN-USDT','5m','RVN-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'NKN-USDT','5m','NKN-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SC-USDT','5m','SC-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ATA-USDT','5m','ATA-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'GTC-USDT','5m','GTC-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'XEM-USDT','5m','XEM-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CELO-USDT','5m','CELO-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'UNFI-USDT','5m','UNFI-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ANKR-USDT','5m','ANKR-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DGB-USDT','5m','DGB-USDT','2021-01-01','2021-12-19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
