'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USD','15m','wq<s*=W@v','2021-09-01','2021-09-25','8','2.27','-6.72',39,'50','1.09','5.77','2','2',528,-173,'4','4','-14.36'
'ETH-USD','15m','wq<s*GW@v','2021-09-01','2021-09-25','8','2.27','-6.72',39,'50','1.09','5.77','2','2',528,-173,'4','4','-14.36'
'ETH-USD','15m','wq<s*KW@v','2021-09-01','2021-09-25','8','2.27','-6.72',39,'50','1.09','5.77','2','2',528,-173,'4','4','-14.36'
'ETH-USD','15m','0qTfWC?@v','2021-09-01','2021-09-25','10','1.62','-5.85',26,'30','0.93','4.53','2','7',577,-92,'3','7','-14.36'
'ETH-USD','15m','VUTR<:v6v','2021-09-01','2021-09-25','9','1.24','-5.2',20,'44','0.68','3.8','1','2',540,-261,'4','5','-14.36'
'ETH-USD','15m','=UTD<<vvv','2021-09-01','2021-09-25','9','1.28','-5.83',20,'56','0.69','3.49','1','1',456,-155,'5','4','-14.36'
'ETH-USD','15m','YUTR;0t6v','2021-09-01','2021-09-25','9','1.16','-5.29',18,'44','0.65','3.46','1','2',540,-271,'4','5','-14.36'
'ETH-USD','15m','pqGIFV3@v','2021-09-01','2021-09-25','8','1.08','-5.28',17,'50','0.61','3.22','3','2',599,-375,'4','4','-14.36'
'ETH-USD','15m','wq8s*W@v','2021-09-01','2021-09-25','7','1.21','-7.25',19,'29','0.66','2.64','1','4',524,-172,'2','5','-14.36'
'ETH-USD','15m','wq6s*W@v','2021-09-01','2021-09-25','7','1.21','-7.25',19,'29','0.66','2.64','1','4',524,-172,'2','5','-14.36'
'ETH-USD','15m','wG9s*VWJj','2021-09-01','2021-09-25','10','0.89','-5.7',14,'30','0.56','2.43','1','4',545,-151,'3','7','-14.36'
'ETH-USD','15m','wq<s*VWJp','2021-09-01','2021-09-25','8','1.1','-7.45',17,'38','0.62','2.32','1','3',540,-172,'3','5','-14.36'
'ETH-USD','15m','wq<n*W@v','2021-09-01','2021-09-25','7','1.0','-7.29',16,'29','0.58','2.14','1','4',520,-172,'2','5','-14.36'
'ETH-USD','15m','wq<m*W@v','2021-09-01','2021-09-25','7','1.0','-7.29',16,'29','0.58','2.14','1','4',520,-172,'2','5','-14.36'
'ETH-USD','15m','wq<l*W@v','2021-09-01','2021-09-25','7','0.87','-7.3',13,'29','0.53','1.84','1','4',520,-172,'2','5','-14.36'
'ETH-USD','15m','wq<k*W@v','2021-09-01','2021-09-25','7','0.87','-7.3',13,'29','0.53','1.84','1','4',520,-172,'2','5','-14.36'
'ETH-USD','15m','1bT?<;vuv','2021-09-01','2021-09-25','12','0.6','-5.38',9,'42','0.42','1.69','1','4',450,-98,'5','7','-14.36'
'ETH-USD','15m','wq<l*VWJv','2021-09-01','2021-09-25','7','0.53','-7.63',8,'29','0.39','1.04','1','4',520,-172,'2','5','-14.36'
'ETH-USD','15m','>q<s*W@v','2021-09-01','2021-09-25','9','0.32','-6.5',5,'44','0.31','0.74','1','2',524,-154,'4','5','-14.36'
'ETH-USD','15m','=q<s*W@v','2021-09-01','2021-09-25','9','0.32','-6.5',5,'44','0.31','0.74','1','2',524,-154,'4','5','-14.36'
'ETH-USD','15m','fUT4<<vvv','2021-09-01','2021-09-25','8','0.13','-8.53',2,'38','0.24','0.22','1','2',446,-336,'3','5','-14.36'
'ETH-USD','15m','(UDDIN)vq','2021-09-01','2021-09-25','19','0.01','-5.7',0,'21','0.15','0.02','1','9',606,-56,'4','15','-14.36'
'ETH-USD','15m','pqGIFWW@v','2021-09-01','2021-09-25','6','-0.29','-5.73',-4,'50','0.02','-0.74','2','2',103,-124,'3','3','-14.36'
'ETH-USD','15m','=q<s1VWJv','2021-09-01','2021-09-25','8','-0.45','-7.23',-6,'38','-0.0','-0.88','1','3',520,-153,'3','5','-14.36'
'ETH-USD','15m','wq<2*-@v','2021-09-01','2021-09-25','9','-1.7','-9.43',-22,'44','-0.46','-2.35','2','3',528,-404,'4','5','-14.36'
'ETH-USD','15m','qGsF,@v','2021-09-01','2021-09-25','10','-1.36','-7.61',-18,'40','-0.42','-2.37','3','3',570,-280,'4','6','-14.36'
'ETH-USD','15m','wq9s*WQj','2021-09-01','2021-09-25','11','-1.78','-8.14',-23,'27','-0.54','-2.84','1','4',525,-167,'3','8','-14.36'
'ETH-USD','15m','(nX;@vYv','2021-09-01','2021-09-25','15','-1.37','-5.98',-18,'13','-0.55','-3.05','2','11',503,-56,'2','13','-14.36'
'ETH-USD','15m','r42OV8u?a','2021-09-01','2021-09-25','14','-2.71','-10.07',-33,'36','-0.91','-3.28','3','5',538,-379,'5','9','-14.36'
'ETH-USD','15m','(<XL;@vYv','2021-09-01','2021-09-25','15','-1.96','-6.85',-25,'13','-0.84','-3.67','1','12',494,-56,'2','13','-14.36'
'ETH-USD','15m','(qDII5)@q','2021-09-01','2021-09-25','30','-2.84','-9.36',-34,'20','-1.09','-3.67','3','18',603,-56,'6','24','-14.36'
'ETH-USD','15m','pqGIRC5@v','2021-09-01','2021-09-25','8','-2.13','-7.12',-27,'25','-0.66','-3.78','1','3',581,-375,'2','6','-14.36'
'ETH-USD','15m','YqRs;2@v','2021-09-01','2021-09-25','10','-2.8','-8.39',-34,'50','-1.13','-4.04','3','3',552,-270,'5','5','-14.36'
'ETH-USD','15m','?q9s*VWJj','2021-09-01','2021-09-25','12','-2.66','-8.02',-33,'25','-0.96','-4.06','1','5',530,-154,'3','9','-14.36'
'ETH-USD','15m','peGsF,@v','2021-09-01','2021-09-25','10','-3.24','-9.4',-38,'40','-1.14','-4.06','3','3',562,-375,'4','6','-14.36'
'ETH-USD','15m','(dTa;ovwv','2021-09-01','2021-09-25','9','-2.05','-3.83',-26,'33','-3.05','-6.82','1','5',117,-57,'3','6','-14.36'
'ETH-USD','15m','pqGfF,@v','2021-09-01','2021-09-25','10','-9.52','-11.07',-77,'40','-3.95','-6.94','2','2',230,-375,'4','6','-14.36'
'ETH-USD','15m','mqvs(W@c','2021-09-01','2021-09-25','8','-2.95','-4.93',-35,'25','-1.71','-7.18','1','3',107,-159,'2','6','-14.36'
'ETH-USD','15m','(UDD0p)vq','2021-09-01','2021-09-25','30','-8.74','-9.53',-74,'20','-7.32','-7.74','2','15',129,-56,'6','24','-14.36'
'ETH-USD','15m','(qDIIT)5q','2021-09-01','2021-09-25','23','-9.18','-9.62',-76,'13','-13.38','-7.85','1','10',51,-56,'3','20','-14.36'
'ETH-USD','15m','*qDIIT)@q','2021-09-01','2021-09-25','19','-8.72','-9.16',-74,'11','-9.69','-8.04','1','8',110,-66,'2','17','-14.36'
'ETH-USD','15m','(WDIIT)@q','2021-09-01','2021-09-25','21','-7.58','-8.21',-68,'14','-10.2','-8.33','1','8',110,-56,'3','18','-14.36'
