['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTT-USDT', '5m', 'BTT-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BAND-USDT', '5m', 'BAND-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BLZ-USDT', '5m', 'BLZ-USDT', '2020-10-01', '2021-10-01', '125', '40.62', '-69.5', 71, '59', '0.3', '1.06', '1.02', '6', '3', 6898, -15437, '74', '51', '85.76']
['STMX-USDT', '5m', 'STMX-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['LIT-USDT', '5m', 'LIT-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SKL-USDT', '5m', 'SKL-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['REEF-USDT', '5m', 'REEF-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['HNT-USDT', '5m', 'HNT-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['TRB-USDT', '5m', 'TRB-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FLM-USDT', '5m', 'FLM-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BTS-USDT', '5m', 'BTS-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['MTL-USDT', '5m', 'MTL-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['RVN-USDT', '5m', 'RVN-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ZIL-USDT', '5m', 'ZIL-USDT', '2020-10-01', '2021-10-01', '95', '23.82', '-45.75', 41, '60', '0.26', '0.83', '0.9', '5', '3', 2073, -2549, '57', '38', '337.48']
['YFII-USDT', '5m', 'YFII-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ZRX-USDT', '5m', 'ZRX-USDT', '2020-10-01', '2021-10-01', '114', '30.02', '-60.34', 44, '55', '0.08', '0.86', '0.73', '9', '7', 2209, -2183, '63', '51', '122.9']
['LRC-USDT', '5m', 'LRC-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['RSR-USDT', '5m', 'RSR-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['NKN-USDT', '5m', 'NKN-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SC-USDT', '5m', 'SC-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BAT-USDT', '5m', 'BAT-USDT', '2020-10-01', '2021-10-01', '105', '27.16', '-65.85', 36, '59', '0.06', '0.8', '0.55', '8', '3', 2302, -3385, '62', '43', '164.04']
['ATA-USDT', '5m', 'ATA-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GTC-USDT', '5m', 'GTC-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['KNC-USDT', '5m', 'KNC-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XEM-USDT', '5m', 'XEM-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['OCEAN-USDT', '5m', 'OCEAN-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['CELO-USDT', '5m', 'CELO-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['UNFI-USDT', '5m', 'UNFI-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ANKR-USDT', '5m', 'ANKR-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DGB-USDT', '5m', 'DGB-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DEFI-USDT', '5m', 'DEFI-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BTCDOM-USDT', '5m', 'BTCDOM-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
