['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Serenity', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['DOT-USDT', '5m', 'DOT-USDT', '2021-08-01', '2021-12-30', '29', '-17.41', '-24.14', -16, '52', '-0.12', '-0.14', '-0.66', '4', '3', 14, -20, '15', '14', '59.95']
['BNB-USDT', '5m', 'BNB-USDT', '2021-08-01', '2021-12-30', '8', '47.46', '-7.5', 154, '88', '10.76', '3.38', '20.55', '6', '1', 19, -22, '7', '1', '54.77']
['ATOM-USDT', '5m', 'ATOM-USDT', '2021-08-01', '2021-12-30', '31', '4.71', '-26.78', 52, '48', '0.16', '1.06', '1.94', '3', '5', 17, -19, '15', '16', '121.51']
['CELR-USDT', '5m', 'CELR-USDT', '2021-08-01', '2021-12-30', '26', '-4.5', '-18.67', 37, '54', '0.2', '0.97', '1.99', '4', '4', 15, -21, '14', '12', '123.12']
['XTZ-USDT', '5m', 'XTZ-USDT', '2021-08-01', '2021-12-30', '32', '-10.12', '-23.81', 15, '47', '0.09', '0.53', '0.64', '4', '6', 14, -19, '15', '17', '43.98']
['LINK-USDT', '5m', 'LINK-USDT', '2021-08-01', '2021-12-30', '25', '-6.61', '-19.3', 0, '44', '0.0', '0.23', '0.02', '3', '4', 15, -18, '11', '14', '-13.07']
['SUSHI-USDT', '5m', 'SUSHI-USDT', '2021-08-01', '2021-12-30', '33', '11.38', '-19.58', 60, '55', '0.46', '1.12', '3.07', '5', '3', 16, -20, '18', '15', '4.65']
['LTC-USDT', '5m', 'LTC-USDT', '2021-08-01', '2021-12-30', '26', '-5.14', '-39.3', -6, '46', '-0.02', '0.08', '-0.15', '5', '4', 20, -27, '12', '14', '0.83']
['EOS-USDT', '5m', 'EOS-USDT', '2021-08-01', '2021-12-30', '20', '18.28', '-10.6', 84, '60', '1.31', '1.95', '7.89', '5', '2', 15, -17, '12', '8', '-25.63']
['ALGO-USDT', '5m', 'ALGO-USDT', '2021-08-01', '2021-12-30', '28', '-37.26', '-42.95', -57, '43', '-0.07', '-1.47', '-1.33', '3', '5', 11, -20, '12', '16', '88.08']
['DOGE-USDT', '5m', 'DOGE-USDT', '2021-08-01', '2021-12-30', '14', '-19.03', '-28.87', -34, '43', '-0.04', '-0.92', '-1.19', '2', '6', 10, -16, '6', '8', '-19.09']
['CRV-USDT', '5m', 'CRV-USDT', '2021-08-01', '2021-12-30', '36', '43.4', '-25.17', 168, '58', '0.68', '2.15', '6.66', '4', '3', 20, -21, '21', '15', '184.12']
['MATIC-USDT', '5m', 'MATIC-USDT', '2021-08-01', '2021-12-30', '30', '-44.06', '-45.82', -65, '33', '-0.06', '-1.6', '-1.42', '3', '5', 15, -21, '10', '20', '129.19']
['AXS-USDT', '5m', 'AXS-USDT', '2021-08-01', '2021-12-30', '25', '-43.68', '-33.89', -57, '36', '-0.12', '-1.65', '-1.69', '2', '4', 14, -21, '9', '16', '120.91']
['SRM-USDT', '5m', 'SRM-USDT', '2021-08-01', '2021-12-30', '27', '-8.02', '-31.5', -9, '52', '-0.02', '0.06', '-0.27', '4', '3', 13, -21, '14', '13', '-15.36']
['REN-USDT', '5m', 'REN-USDT', '2021-08-01', '2021-12-30', '35', '14.75', '-32.4', 52, '57', '0.15', '1.0', '1.61', '6', '3', 22, -29, '20', '15', '26.52']
['ONE-USDT', '5m', 'ONE-USDT', '2021-08-01', '2021-12-30', '39', '-6.7', '-33.22', 34, '54', '0.05', '0.79', '1.01', '6', '4', 18, -23, '21', '18', '187.02']
['ETC-USDT', '5m', 'ETC-USDT', '2021-08-01', '2021-12-30', '16', '-18.34', '-18.12', -24, '38', '-0.07', '-0.56', '-1.31', '2', '4', 15, -17, '6', '10', '-33.59']
['BCH-USDT', '5m', 'BCH-USDT', '2021-08-01', '2021-12-30', '17', '-21.98', '-20.26', -42, '35', '-0.19', '-1.38', '-2.07', '1', '3', 13, -15, '6', '11', '-21.37']
['ICP-USDT', '5m', 'ICP-USDT', '2021-08-01', '2021-12-30', '24', '-24.35', '-34.19', -33, '46', '-0.08', '-0.51', '-0.96', '4', '4', 17, -24, '11', '13', '-42.55']
['AAVE-USDT', '5m', 'AAVE-USDT', '2021-08-01', '2021-12-30', '30', '39.51', '-20.03', 135, '60', '0.53', '1.97', '6.73', '5', '3', 21, -19, '18', '12', '-28.48']
['1INCH-USDT', '5m', '1INCH-USDT', '2021-08-01', '2021-12-30', '27', '-0.71', '-21.4', 48, '52', '0.39', '1.05', '2.26', '4', '4', 16, -20, '14', '13', '1.69']
['ALICE-USDT', '5m', 'ALICE-USDT', '2021-08-01', '2021-12-30', '26', '-19.98', '-34.13', -13, '42', '-0.02', '-0.06', '-0.38', '2', '4', 12, -21, '11', '15', '-8.67']
['NEAR-USDT', '5m', 'NEAR-USDT', '2021-08-01', '2021-12-30', '24', '29.57', '-30.51', 91, '62', '0.17', '1.44', '3.0', '6', '4', 19, -29, '15', '9', '519.14']
['BZRX-USDT', '5m', 'BZRX-USDT', '2021-08-01', '2021-12-30', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['OMG-USDT', '5m', 'OMG-USDT', '2021-08-01', '2021-12-30', '35', '-14.19', '-41.7', -21, '51', '-0.03', '-0.04', '-0.49', '5', '8', 15, -21, '18', '17', '32.46']
['TRX-USDT', '5m', 'TRX-USDT', '2021-08-01', '2021-12-30', '18', '-11.78', '-27.92', -15, '39', '-0.03', '-0.3', '-0.55', '2', '5', 15, -21, '7', '11', '19.41']
['BAKE-USDT', '5m', 'BAKE-USDT', '2021-08-01', '2021-12-30', '21', '50.53', '-17.84', 210, '62', '1.04', '3.15', '11.8', '7', '3', 20, -28, '13', '8', '-47.39']
['GALA-USDT', '5m', 'GALA-USDT', '2021-08-01', '2021-12-30', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['THETA-USDT', '5m', 'THETA-USDT', '2021-08-01', '2021-12-30', '28', '9.99', '-26.23', 48, '54', '0.23', '1.04', '1.85', '2', '3', 18, -25, '15', '13', '-19.4']
['EGLD-USDT', '5m', 'EGLD-USDT', '2021-08-01', '2021-12-30', '25', '-23.22', '-34.47', -44, '44', '-0.11', '-0.76', '-1.27', '2', '4', 15, -20, '11', '14', '174.38']
['RUNE-USDT', '5m', 'RUNE-USDT', '2021-08-01', '2021-12-30', '35', '7.63', '-18.86', 56, '51', '0.33', '1.13', '2.98', '5', '4', 19, -21, '18', '17', '5.62']
['IOTX-USDT', '5m', 'IOTX-USDT', '2021-08-01', '2021-12-30', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['C98-USDT', '5m', 'C98-USDT', '2021-08-01', '2021-12-30', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['TLM-USDT', '5m', 'TLM-USDT', '2021-08-01', '2021-12-30', '20', '1.32', '-20.69', 19, '55', '0.06', '0.64', '0.93', '4', '2', 13, -19, '11', '9', '-30.11']
['IOST-USDT', '5m', 'IOST-USDT', '2021-08-01', '2021-12-30', '15', '57.33', '-7.29', 229, '73', '14.87', '3.6', '31.4', '4', '1', 21, -23, '11', '4', '16.63']
['KSM-USDT', '5m', 'KSM-USDT', '2021-08-01', '2021-12-30', '19', '10.57', '-14.05', 43, '53', '0.43', '1.14', '3.07', '3', '2', 15, -18, '10', '9', '43.18']
['SXP-USDT', '5m', 'SXP-USDT', '2021-08-01', '2021-12-30', '21', '-25.52', '-39.67', -48, '38', '-0.06', '-1.3', '-1.2', '3', '9', 15, -21, '8', '13', '-28.08']
['VET-USDT', '5m', 'VET-USDT', '2021-08-01', '2021-12-30', '22', '7.45', '-15.79', 58, '55', '0.4', '1.25', '3.65', '3', '3', 16, -21, '12', '10', '-7.83']
['XLM-USDT', '5m', 'XLM-USDT', '2021-08-01', '2021-12-30', '18', '1.81', '-24.54', 12, '56', '0.05', '0.49', '0.48', '4', '3', 15, -21, '10', '8', '-6.61']
['RAY-USDT', '5m', 'RAY-USDT', '2021-08-01', '2021-12-30', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GRT-USDT', '5m', 'GRT-USDT', '2021-08-01', '2021-12-30', '30', '-38.3', '-49.18', -57, '40', '-0.05', '-1.26', '-1.15', '4', '5', 9, -20, '12', '18', '1.49']
['KAVA-USDT', '5m', 'KAVA-USDT', '2021-08-01', '2021-12-30', '19', '23.64', '-10.92', 67, '58', '0.69', '1.76', '6.1', '3', '2', 14, -16, '11', '8', '-32.15']
['MASK-USDT', '5m', 'MASK-USDT', '2021-08-01', '2021-12-30', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DODO-USDT', '5m', 'DODO-USDT', '2021-08-01', '2021-12-30', '23', '-63.0', '-56.13', -82, '22', '-0.05', '-3.32', '-1.46', '1', '5', 15, -18, '5', '18', '-29.78']
['RLC-USDT', '5m', 'RLC-USDT', '2021-08-01', '2021-12-30', '23', '-13.9', '-23.83', -20, '43', '-0.09', '-0.25', '-0.84', '2', '3', 15, -20, '10', '13', '-8.42']
['1000SHIB-USDT', '5m', '1000SHIB-USDT', '2021-08-01', '2021-12-30', '20', '-7.76', '-19.55', 9, '45', '0.04', '0.41', '0.45', '3', '4', 13, -19, '9', '11', '439.02']
['COMP-USDT', '5m', 'COMP-USDT', '2021-08-01', '2021-12-30', '22', '-23.63', '-26.71', -37, '41', '-0.08', '-0.78', '-1.38', '2', '3', 13, -20, '9', '13', '-51.19']
['WAVES-USDT', '5m', 'WAVES-USDT', '2021-08-01', '2021-12-30', '13', '5.59', '-9.55', 12, '62', '0.13', '0.53', '1.25', '2', '1', 16, -21, '8', '5', '-13.34']
['CHR-USDT', '5m', 'CHR-USDT', '2021-08-01', '2021-12-30', '27', '-15.16', '-17.82', 21, '44', '0.14', '0.62', '1.16', '3', '5', 14, -20, '12', '15', '125.7']
['XMR-USDT', '5m', 'XMR-USDT', '2021-08-01', '2021-12-30', '10', '6.5', '-18.17', 28, '60', '0.57', '1.05', '1.54', '4', '3', 15, -25, '6', '4', '-10.65']
['ICX-USDT', '5m', 'ICX-USDT', '2021-08-01', '2021-12-30', '32', '-33.21', '-34.69', -32, '38', '-0.14', '-0.34', '-0.93', '3', '6', 18, -22, '12', '20', '37.54']
['HBAR-USDT', '5m', 'HBAR-USDT', '2021-08-01', '2021-12-30', '24', '-34.49', '-37.14', -52, '46', '-0.08', '-1.42', '-1.41', '2', '3', 10, -17, '11', '13', '32.32']
['SAND-USDT', '5m', 'SAND-USDT', '2021-08-01', '2021-12-30', '25', '-0.21', '-28.52', 23, '52', '0.13', '0.64', '0.79', '5', '4', 19, -43, '13', '12', '808.02']
['DENT-USDT', '5m', 'DENT-USDT', '2021-08-01', '2021-12-30', '26', '101.56', '-9.98', 663, '65', '22.92', '4.05', '66.4', '8', '4', 31, -27, '17', '9', '58.44']
['NEO-USDT', '5m', 'NEO-USDT', '2021-08-01', '2021-12-30', '26', '-13.3', '-22.59', -26, '54', '-0.21', '-0.36', '-1.14', '4', '3', 14, -19, '14', '12', '-43.0']
['SNX-USDT', '5m', 'SNX-USDT', '2021-08-01', '2021-12-30', '27', '-14.07', '-30.87', -9, '48', '-0.02', '-0.02', '-0.3', '4', '4', 16, -20, '13', '14', '-46.15']
['1000XEC-USDT', '5m', '1000XEC-USDT', '2021-08-01', '2021-12-30', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ZEC-USDT', '5m', 'ZEC-USDT', '2021-08-01', '2021-12-30', '31', '21.88', '-15.11', 87, '52', '0.7', '1.5', '5.76', '3', '3', 17, -21, '16', '15', '31.81']
['CHZ-USDT', '5m', 'CHZ-USDT', '2021-08-01', '2021-12-30', '22', '-27.19', '-35.91', -51, '41', '-0.06', '-1.35', '-1.43', '2', '3', 12, -20, '9', '13', '8.19']
['YFI-USDT', '5m', 'YFI-USDT', '2021-08-01', '2021-12-30', '19', '0.04', '-2.64', 0, '53', '0.02', '0.1', '0.14', '4', '2', 3, -3, '10', '9', '-13.97']
['IOTA-USDT', '5m', 'IOTA-USDT', '2021-08-01', '2021-12-30', '22', '-8.99', '-20.04', -2, '45', '-0.02', '0.19', '-0.12', '4', '3', 15, -19, '10', '12', '57.18']
['BAL-USDT', '5m', 'BAL-USDT', '2021-08-01', '2021-12-30', '23', '-5.93', '-27.99', 16, '48', '0.04', '0.55', '0.57', '3', '4', 14, -19, '11', '12', '-26.9']
['QTUM-USDT', '5m', 'QTUM-USDT', '2021-08-01', '2021-12-30', '26', '-19.2', '-29.53', -26, '46', '-0.08', '-0.34', '-0.86', '2', '4', 15, -17, '12', '14', '10.41']
['ZEN-USDT', '5m', 'ZEN-USDT', '2021-08-01', '2021-12-30', '22', '-0.04', '-24.88', 38, '50', '0.19', '0.94', '1.53', '3', '3', 13, -19, '11', '11', '5.54']
['DASH-USDT', '5m', 'DASH-USDT', '2021-08-01', '2021-12-30', '15', '23.18', '-9.54', 74, '67', '1.96', '1.86', '7.73', '2', '1', 16, -18, '10', '5', '-18.88']
['AKRO-USDT', '5m', 'AKRO-USDT', '2021-08-01', '2021-12-30', '23', '8.82', '-18.44', 104, '52', '1.09', '1.75', '5.63', '5', '6', 18, -29, '12', '11', '6.94']
['MANA-USDT', '5m', 'MANA-USDT', '2021-08-01', '2021-12-30', '21', '-21.59', '-28.34', -34, '48', '-0.07', '-0.76', '-1.19', '3', '3', 12, -20, '10', '11', '354.88']
['MKR-USDT', '5m', 'MKR-USDT', '2021-08-01', '2021-12-30', '20', '-21.48', '-24.68', -28, '35', '-0.06', '-0.71', '-1.15', '2', '4', 13, -19, '7', '13', '-20.93']
['ENJ-USDT', '5m', 'ENJ-USDT', '2021-08-01', '2021-12-30', '27', '-16.75', '-41.23', -34, '48', '-0.07', '-0.58', '-0.82', '5', '5', 19, -21, '13', '14', '83.91']
['CTK-USDT', '5m', 'CTK-USDT', '2021-08-01', '2021-12-30', '24', '-42.39', '-42.4', -68, '33', '-0.06', '-1.88', '-1.59', '2', '5', 10, -17, '8', '16', '45.52']
['TOMO-USDT', '5m', 'TOMO-USDT', '2021-08-01', '2021-12-30', '17', '8.38', '-14.73', 34, '53', '0.23', '0.96', '2.31', '4', '3', 15, -19, '9', '8', '-33.33']
['LINA-USDT', '5m', 'LINA-USDT', '2021-08-01', '2021-12-30', '26', '-19.72', '-31.94', -30, '46', '-0.08', '-0.43', '-0.93', '4', '3', 15, -21, '12', '14', '12.16']
['HOT-USDT', '5m', 'HOT-USDT', '2021-08-01', '2021-12-30', '24', '-5.57', '-36.46', 38, '50', '0.06', '0.9', '1.04', '3', '5', 19, -30, '12', '12', '17.33']
['ALPHA-USDT', '5m', 'ALPHA-USDT', '2021-08-01', '2021-12-30', '20', '-4.69', '-19.49', -6, '55', '-0.02', '0.06', '-0.3', '4', '2', 15, -22, '11', '9', '7.81']
['SFP-USDT', '5m', 'SFP-USDT', '2021-08-01', '2021-12-30', '36', '-37.61', '-29.52', -43, '42', '-0.1', '-0.65', '-1.47', '3', '4', 12, -19, '15', '21', '63.01']
['STORJ-USDT', '5m', 'STORJ-USDT', '2021-08-01', '2021-12-30', '22', '-27.86', '-34.76', -30, '41', '-0.03', '-0.59', '-0.87', '2', '4', 12, -17, '9', '13', '64.98']
['CVC-USDT', '5m', 'CVC-USDT', '2021-08-01', '2021-12-30', '20', '71.99', '-11.2', 298, '70', '7.36', '4.0', '26.58', '11', '3', 24, -25, '14', '6', '16.84']
['OGN-USDT', '5m', 'OGN-USDT', '2021-08-01', '2021-12-30', '18', '-12.62', '-20.81', -9, '44', '-0.03', '-0.07', '-0.43', '3', '3', 15, -19, '8', '10', '-22.07']
['BEL-USDT', '5m', 'BEL-USDT', '2021-08-01', '2021-12-30', '29', '-41.09', '-34.34', -50, '31', '-0.1', '-1.03', '-1.46', '2', '6', 15, -18, '9', '20', '-9.84']
['KEEP-USDT', '5m', 'KEEP-USDT', '2021-08-01', '2021-12-30', '32', '-63.9', '-50.32', -79, '38', '-0.1', '-1.62', '-1.56', '3', '6', 14, -46, '12', '20', '107.97']
['ONT-USDT', '5m', 'ONT-USDT', '2021-08-01', '2021-12-30', '21', '-6.07', '-17.91', 2, '48', '0.01', '0.24', '0.09', '5', '4', 13, -18, '10', '11', '-23.12']
['AUDIO-USDT', '5m', 'AUDIO-USDT', '2021-08-01', '2021-12-30', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BTT-USDT', '5m', 'BTT-USDT', '2021-08-01', '2021-12-30', '30', '13.59', '-12.19', 215, '43', '5.26', '3.15', '17.68', '3', '5', 23, -21, '13', '17', '-5.23']
['BAND-USDT', '5m', 'BAND-USDT', '2021-08-01', '2021-12-30', '23', '-11.46', '-21.7', -6, '43', '-0.05', '0.07', '-0.3', '2', '3', 15, -17, '10', '13', '-21.91']
['BLZ-USDT', '5m', 'BLZ-USDT', '2021-08-01', '2021-12-30', '30', '-27.53', '-21.64', -35, '40', '-0.15', '-0.6', '-1.6', '4', '4', 14, -20, '12', '18', '23.76']
['STMX-USDT', '5m', 'STMX-USDT', '2021-08-01', '2021-12-30', '26', '18.85', '-12.87', 102, '54', '1.87', '1.75', '7.91', '4', '6', 18, -22, '14', '12', '-13.24']
['LIT-USDT', '5m', 'LIT-USDT', '2021-08-01', '2021-12-30', '30', '-65.71', '-66.13', -89, '33', '-0.06', '-3.71', '-1.35', '5', '10', 9, -21, '10', '20', '-17.36']
['SKL-USDT', '5m', 'SKL-USDT', '2021-08-01', '2021-12-30', '32', '-23.74', '-27.47', -34, '47', '-0.07', '-0.67', '-1.23', '4', '5', 15, -21, '15', '17', '-19.25']
['REEF-USDT', '5m', 'REEF-USDT', '2021-08-01', '2021-12-30', '24', '-25.52', '-28.05', -37, '46', '-0.12', '-0.8', '-1.31', '3', '3', 13, -17, '11', '13', '20.75']
['HNT-USDT', '5m', 'HNT-USDT', '2021-08-01', '2021-12-30', '34', '-3.41', '-25.71', 35, '50', '0.26', '0.84', '1.36', '6', '4', 16, -22, '17', '17', '176.28']
['TRB-USDT', '5m', 'TRB-USDT', '2021-08-01', '2021-12-30', '26', '-43.19', '-39.59', -62, '35', '-0.08', '-1.94', '-1.57', '2', '4', 12, -15, '9', '17', '-18.25']
['FLM-USDT', '5m', 'FLM-USDT', '2021-08-01', '2021-12-30', '17', '24.63', '-17.1', 104, '59', '0.91', '2.35', '6.09', '4', '3', 18, -19, '10', '7', '-26.18']
['BTS-USDT', '5m', 'BTS-USDT', '2021-08-01', '2021-12-30', '20', '-9.84', '-31.86', 14, '45', '0.02', '0.51', '0.43', '4', '5', 12, -17, '9', '11', '-21.1']
['MTL-USDT', '5m', 'MTL-USDT', '2021-08-01', '2021-12-30', '17', '-34.57', '-22.45', -46, '29', '-0.08', '-1.78', '-2.04', '2', '3', 14, -21, '5', '12', '-10.22']
['RVN-USDT', '5m', 'RVN-USDT', '2021-08-01', '2021-12-30', '22', '9.71', '-19.93', 30, '59', '0.18', '0.79', '1.49', '3', '2', 19, -24, '13', '9', '40.85']
['ZIL-USDT', '5m', 'ZIL-USDT', '2021-08-01', '2021-12-30', '23', '-29.05', '-41.54', -54, '48', '-0.06', '-1.42', '-1.29', '5', '5', 13, -19, '11', '12', '-4.05']
['YFII-USDT', '5m', 'YFII-USDT', '2021-08-01', '2021-12-30', '23', '12.38', '-18.5', 79, '52', '0.37', '1.63', '4.26', '3', '2', 15, -21, '12', '11', '-24.05']
['ZRX-USDT', '5m', 'ZRX-USDT', '2021-08-01', '2021-12-30', '25', '-23.78', '-16.28', -4, '48', '-0.03', '0.13', '-0.25', '5', '4', 12, -20, '12', '13', '-7.76']
['LRC-USDT', '5m', 'LRC-USDT', '2021-08-01', '2021-12-30', '39', '-16.51', '-25.94', 3, '49', '0.01', '0.37', '0.12', '3', '4', 16, -30, '19', '20', '683.65']
['RSR-USDT', '5m', 'RSR-USDT', '2021-08-01', '2021-12-30', '27', '17.97', '-14.22', 106, '56', '2.06', '1.55', '7.44', '5', '3', 18, -30, '15', '12', '-6.49']
['NKN-USDT', '5m', 'NKN-USDT', '2021-08-01', '2021-12-30', '29', '-62.89', '-50.32', -76, '34', '-0.13', '-1.71', '-1.5', '3', '9', 15, -62, '10', '19', '38.43']
['SC-USDT', '5m', 'SC-USDT', '2021-08-01', '2021-12-30', '21', '15.07', '-15.24', 50, '62', '0.46', '1.12', '3.28', '5', '3', 16, -22, '13', '8', '-17.19']
['BAT-USDT', '5m', 'BAT-USDT', '2021-08-01', '2021-12-30', '20', '15.09', '-19.58', 43, '60', '0.2', '1.06', '2.19', '7', '4', 15, -20, '12', '8', '63.49']
['ATA-USDT', '5m', 'ATA-USDT', '2021-08-01', '2021-12-30', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GTC-USDT', '5m', 'GTC-USDT', '2021-08-01', '2021-12-30', '37', '-40.52', '-40.5', -49, '43', '-0.19', '-0.66', '-1.2', '4', '5', 17, -42, '16', '21', '85.7']
['KNC-USDT', '5m', 'KNC-USDT', '2021-08-01', '2021-12-30', '15', '7.07', '-13.53', 40, '67', '0.49', '1.32', '2.96', '3', '2', 13, -21, '10', '5', '-22.98']
['XEM-USDT', '5m', 'XEM-USDT', '2021-08-01', '2021-12-30', '7', '3.01', '-6.79', 13, '57', '0.51', '0.75', '1.88', '1', '1', 12, -10, '4', '3', '-29.55']
['OCEAN-USDT', '5m', 'OCEAN-USDT', '2021-08-01', '2021-12-30', '35', '-40.73', '-39.46', -60, '46', '-0.09', '-1.34', '-1.52', '4', '6', 13, -19, '16', '19', '71.19']
['CELO-USDT', '5m', 'CELO-USDT', '2021-08-01', '2021-12-30', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['UNFI-USDT', '5m', 'UNFI-USDT', '2021-08-01', '2021-12-30', '35', '-22.35', '-32.94', -32, '51', '-0.13', '-0.36', '-0.97', '6', '5', 16, -23, '18', '17', '-11.36']
['ANKR-USDT', '5m', 'ANKR-USDT', '2021-08-01', '2021-12-30', '30', '-33.68', '-30.59', -40, '40', '-0.11', '-0.81', '-1.32', '2', '4', 15, -21, '12', '18', '16.95']
['DGB-USDT', '5m', 'DGB-USDT', '2021-08-01', '2021-12-30', '27', '-10.25', '-25.11', -6, '44', '-0.01', '0.08', '-0.24', '2', '4', 13, -21, '12', '15', '-27.88']
['DEFI-USDT', '5m', 'DEFI-USDT', '2021-08-01', '2021-12-30', '12', '-2.1', '-12.09', 5, '50', '0.06', '0.32', '0.42', '2', '2', 14, -16, '6', '6', '34.66']
['BTCDOM-USDT', '5m', 'BTCDOM-USDT', '2021-08-01', '2021-12-30', '3', '5.84', '-2.5', 15, '67', '1.15', '1.34', '5.85', '2', '1', 9, -5, '2', '1', '-7.63']
