'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'REEF-USDT','5m','REEF-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'HNT-USDT','5m','HNT-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TRB-USDT','5m','TRB-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'FLM-USDT','5m','FLM-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BTS-USDT','5m','BTS-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MTL-USDT','5m','MTL-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'RVN-USDT','5m','RVN-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'YFII-USDT','5m','YFII-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'LRC-USDT','5m','LRC-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'RSR-USDT','5m','RSR-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'NKN-USDT','5m','NKN-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SC-USDT','5m','SC-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ATA-USDT','5m','ATA-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'GTC-USDT','5m','GTC-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'KNC-USDT','5m','KNC-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'XEM-USDT','5m','XEM-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'OCEAN-USDT','5m','OCEAN-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CELO-USDT','5m','CELO-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'UNFI-USDT','5m','UNFI-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ANKR-USDT','5m','ANKR-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DGB-USDT','5m','DGB-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DEFI-USDT','5m','DEFI-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BTCDOM-USDT','5m','BTCDOM-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'XTZ-USDT','5m','XTZ-USDT','2020-10-01','2021-10-01','465','-0.32','-21.55',0,'33','-0.0','0.11','-0.01','4','12',367,-243,'153','312','175.4'
'YFI-USDT','5m','YFI-USDT','2020-10-01','2021-10-01','481','-0.19','-23.17',0,'35','-0.0','0.12','-0.01','4','8',392,-522,'166','315','22.25'
'WAVES-USDT','5m','WAVES-USDT','2020-10-01','2021-10-01','487','-0.43','-24.75',0,'34','-0.0','0.12','-0.02','5','13',394,-272,'165','322','839.22'
'ZRX-USDT','5m','ZRX-USDT','2020-10-01','2021-10-01','506','-2.52','-35.75',-3,'35','-0.0','0.04','-0.07','5','9',369,-223,'176','330','122.9'
'BTC-USDT','5m','BTC-USDT','2020-10-01','2021-10-01','341','-1.41','-14.45',-1,'32','-0.02','-0.02','-0.1','4','9',359,-242,'108','233','306.4'
'NEO-USDT','5m','NEO-USDT','2020-10-01','2021-10-01','460','-9.56','-28.85',-10,'35','-0.03','-0.27','-0.33','4','12',337,-170,'160','300','105.0'
'SRM-USDT','5m','SRM-USDT','2020-10-01','2021-10-01','568','-10.75','-31.3',-11,'36','-0.04','-0.18','-0.34','5','10',366,-300,'204','364','297.33'
'LTC-USDT','5m','LTC-USDT','2020-10-01','2021-10-01','422','-6.96','-17.9',-7,'34','-0.07','-0.19','-0.39','6','11',368,-357,'143','279','230.89'
'BCH-USDT','5m','BCH-USDT','2020-10-01','2021-10-01','442','-8.65','-22.42',-9,'33','-0.04','-0.26','-0.39','5','13',361,-203,'147','295','120.12'
'COMP-USDT','5m','COMP-USDT','2020-10-01','2021-10-01','518','-13.83','-31.29',-14,'32','-0.04','-0.38','-0.44','5','12',343,-168,'167','351','137.82'
'THETA-USDT','5m','THETA-USDT','2020-10-01','2021-10-01','488','-12.49','-27.48',-12,'33','-0.04','-0.35','-0.45','5','15',320,-300,'163','325','578.4'
'ALGO-USDT','5m','ALGO-USDT','2020-10-01','2021-10-01','500','-18.47','-35.0',-18,'35','-0.03','-0.7','-0.53','6','14',358,-236,'173','327','368.5'
'STORJ-USDT','5m','STORJ-USDT','2020-10-01','2021-10-01','509','-17.4','-32.43',-17,'36','-0.05','-0.44','-0.54','4','9',346,-349,'182','327','113.58'
'XRP-USDT','5m','XRP-USDT','2020-10-01','2021-10-01','433','-19.42','-34.45',-19,'32','-0.04','-0.62','-0.56','4','9',339,-269,'137','296','294.33'
'SXP-USDT','5m','SXP-USDT','2020-10-01','2021-10-01','495','-24.1','-43.21',-24,'34','-0.03','-0.82','-0.56','5','9',363,-220,'170','325','26.01'
'DOT-USDT','5m','DOT-USDT','2020-10-01','2021-10-01','451','-17.09','-29.35',-17,'33','-0.05','-0.61','-0.58','4','8',381,-236,'149','302','557.53'
'IOTA-USDT','5m','IOTA-USDT','2020-10-01','2021-10-01','490','-22.7','-35.09',-23,'34','-0.04','-0.81','-0.65','6','12',340,-166,'165','325','302.54'
'XMR-USDT','5m','XMR-USDT','2020-10-01','2021-10-01','456','-15.14','-20.34',-15,'31','-0.08','-0.64','-0.74','4','15',365,-236,'143','313','131.91'
'ICX-USDT','5m','ICX-USDT','2020-10-01','2021-10-01','514','-23.45','-30.4',-23,'34','-0.06','-0.8','-0.77','7','10',325,-196,'175','339','263.18'
'AVAX-USDT','5m','AVAX-USDT','2020-10-01','2021-10-01','521','-36.27','-44.74',-36,'33','-0.04','-1.39','-0.81','6','15',364,-197,'173','348','1439.54'
'EOS-USDT','5m','EOS-USDT','2020-10-01','2021-10-01','447','-25.61','-30.12',-26,'32','-0.05','-1.13','-0.85','4','12',357,-196,'145','302','52.56'
'ATOM-USDT','5m','ATOM-USDT','2020-10-01','2021-10-01','529','-25.71','-30.05',-26,'33','-0.08','-0.93','-0.86','4','11',348,-232,'175','354','575.48'
'ETC-USDT','5m','ETC-USDT','2020-10-01','2021-10-01','468','-28.45','-30.02',-28,'28','-0.05','-1.25','-0.95','3','11',352,-183,'133','335','773.32'
