['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETH-USD', '5m', 'N4W=I', '2021-08-01', '2021-09-25', '72', '14.81', '-8.72', 146, '39', '2.42', '16.75', '4', '5', 821, -193, '28', '44', '15.62']
['ETH-USD', '5m', 'N4QVB', '2021-08-01', '2021-09-25', '74', '17.78', '-9.14', 191, '39', '2.79', '20.84', '4', '5', 720, -192, '29', '45', '15.62']
['ETH-USD', '5m', 'V[POm', '2021-08-01', '2021-09-25', '28', '-1.69', '-13.33', -11, '32', '-0.09', '-0.79', '2', '5', 900, -318, '9', '19', '15.62']
['ETH-USD', '5m', 'N5QqB', '2021-08-01', '2021-09-25', '74', '8.11', '-11.68', 66, '36', '1.44', '5.67', '4', '6', 619, -209, '27', '47', '15.62']
['ETH-USD', '5m', 'hHT,j', '2021-08-01', '2021-09-25', '38', '0.95', '-13.72', 6, '39', '0.35', '0.46', '5', '6', 669, -329, '15', '23', '15.62']
['ETH-USD', '5m', '\\6POp', '2021-08-01', '2021-09-25', '28', '10.08', '-6.7', 87, '50', '2.07', '12.97', '4', '4', 862, -276, '14', '14', '15.62']
['ETH-USD', '5m', 'V[POp', '2021-08-01', '2021-09-25', '27', '0.38', '-13.33', 3, '33', '0.26', '0.19', '3', '5', 900, -318, '9', '18', '15.62']
['ETH-USD', '5m', 'v0jVI', '2021-08-01', '2021-09-25', '54', '14.64', '-7.4', 144, '52', '2.7', '19.4', '6', '4', 499, -228, '28', '26', '15.62']
['ETH-USD', '5m', 'KFLaI', '2021-08-01', '2021-09-25', '57', '11.22', '-11.1', 100, '39', '2.1', '9.0', '5', '6', 823, -326, '22', '35', '15.62']
['ETH-USD', '5m', 'r6W:I', '2021-08-01', '2021-09-25', '50', '12.49', '-11.06', 115, '46', '2.24', '10.43', '6', '5', 830, -246, '23', '27', '15.62']
['ETH-USD', '5m', 'p59K_', '2021-08-01', '2021-09-25', '43', '2.48', '-13.15', 17, '42', '0.63', '1.32', '3', '5', 628, -232, '18', '25', '15.62']
['ETH-USD', '5m', 'NTQVB', '2021-08-01', '2021-09-25', '48', '5.57', '-11.47', 42, '33', '1.14', '3.69', '4', '8', 849, -292, '16', '32', '15.62']
