['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['ONE-USDT', '5m', 'ONE-USDT', '2021-08-01', '2021-09-27', '82', '66.92', '-24.94', 2414, '51', '3.46', '96.78', '6', '7', 2847, -624, '42', '40', '127.2']
['ETC-USDT', '5m', 'ETC-USDT', '2021-08-01', '2021-09-27', '66', '-31.01', '-39.89', -90, '41', '-2.94', '-2.26', '3', '4', 960, -525, '27', '39', '-8.19']
['BCH-USDT', '5m', 'BCH-USDT', '2021-08-01', '2021-09-27', '63', '15.91', '-21.04', 153, '43', '1.59', '7.28', '4', '4', 1443, -860, '27', '36', '-7.97']
['ICP-USDT', '5m', 'ICP-USDT', '2021-08-01', '2021-09-27', '76', '19.86', '-32.01', 213, '49', '1.64', '6.65', '5', '6', 1881, -553, '37', '39', '4.32']
['AAVE-USDT', '5m', 'AAVE-USDT', '2021-08-01', '2021-09-27', '76', '22.79', '-28.86', 264, '43', '1.77', '9.15', '4', '7', 1817, -613, '33', '43', '-11.27']
['1INCH-USDT', '5m', '1INCH-USDT', '2021-08-01', '2021-09-27', '63', '22.31', '-39.95', 255, '48', '1.8', '6.38', '7', '5', 1597, -534, '30', '33', '12.69']
['ALICE-USDT', '5m', 'ALICE-USDT', '2021-08-01', '2021-09-27', '67', '1.83', '-36.39', 12, '46', '0.63', '0.33', '6', '8', 1761, -737, '31', '36', '-27.16']
['NEAR-USDT', '5m', 'NEAR-USDT', '2021-08-01', '2021-09-27', '94', '-59.8', '-67.32', -100, '43', '-3.43', '-1.48', '3', '7', 1514, -2431, '40', '54', '203.21']
['BZRX-USDT', '5m', 'BZRX-USDT', '2021-08-01', '2021-09-27', '81', '-53.38', '-62.25', -99, '38', '-3.22', '-1.59', '4', '6', 1360, -588, '31', '50', '2.59']
['OMG-USDT', '5m', 'OMG-USDT', '2021-08-01', '2021-09-27', '80', '-5.87', '-34.4', -32, '41', '0.17', '-0.92', '4', '7', 1843, -1168, '33', '47', '102.8']
['TRX-USDT', '5m', 'TRX-USDT', '2021-08-01', '2021-09-27', '73', '-11.88', '-23.49', -55, '37', '-0.75', '-2.34', '5', '5', 1345, -470, '27', '46', '36.97']
['BAKE-USDT', '5m', 'BAKE-USDT', '2021-08-01', '2021-09-27', '73', '-19.2', '-35.56', -74, '37', '-0.73', '-2.08', '4', '8', 1589, -673, '27', '46', '-23.6']
['GALA-USDT', '5m', 'GALA-USDT', '2021-08-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
