['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['BTC-USDT', '30m', 'W<9D?ia', '2021-01-01', '2021-10-09', '102', '85.51', '-14.78', 130, '61', '2.18', '3.05', '8.82', '9', '5', 800, -592, '62', '40', '86.18']
['BTC-USDT', '30m', 'T<9DDi_', '2021-01-01', '2021-10-09', '105', '85.64', '-18.58', 131, '59', '1.27', '3.04', '7.04', '17', '7', 799, -605, '62', '43', '86.18']
['BTC-USDT', '30m', 'W<MDEi_', '2021-01-01', '2021-10-09', '100', '84.38', '-16.81', 129, '59', '1.65', '3.02', '7.65', '9', '6', 763, -605, '59', '41', '86.18']
['BTC-USDT', '30m', 'r4+D<in', '2021-01-01', '2021-10-09', '117', '64.81', '-14.03', 111, '54', '3.09', '2.66', '7.93', '6', '5', 587, -618, '63', '54', '86.18']
['BTC-USDT', '30m', 'r4)D<in', '2021-01-01', '2021-10-09', '117', '64.8', '-14.03', 111, '54', '3.09', '2.66', '7.93', '6', '5', 591, -605, '63', '54', '86.18']
['BTC-USDT', '30m', 'T<5D?i_', '2021-01-01', '2021-10-09', '106', '87.58', '-18.92', 134, '58', '1.25', '2.99', '7.07', '17', '7', 944, -605, '62', '44', '86.18']
['BTC-USDT', '30m', '6<MDdi_', '2021-01-01', '2021-10-09', '180', '80.05', '-20.72', 135, '52', '1.43', '2.68', '6.54', '7', '5', 785, -605, '93', '87', '86.18']
['BTC-USDT', '30m', '^<ZD?iq', '2021-01-01', '2021-10-09', '114', '74.09', '-12.46', 115, '60', '3.57', '2.78', '9.25', '10', '6', 565, -592, '68', '46', '86.18']
['BTC-USDT', '30m', ']<HD?iq', '2021-01-01', '2021-10-09', '114', '74.33', '-12.31', 116, '61', '3.58', '2.8', '9.39', '10', '5', 565, -592, '69', '45', '86.18']
['BTC-USDT', '30m', '_<2D?iq', '2021-01-01', '2021-10-09', '113', '75.26', '-13.54', 117, '59', '3.37', '2.73', '8.64', '10', '6', 693, -592, '67', '46', '86.18']
['BTC-USDT', '30m', 'X<;D>in', '2021-01-01', '2021-10-09', '115', '83.48', '-13.21', 131, '59', '3.57', '2.89', '9.9', '9', '6', 763, -592, '68', '47', '86.18']
['BTC-USDT', '30m', '_<)D8in', '2021-01-01', '2021-10-09', '108', '77.92', '-13.55', 120, '58', '2.65', '2.76', '8.82', '9', '6', 900, -592, '63', '45', '86.18']
['BTC-USDT', '30m', '_<)D.in', '2021-01-01', '2021-10-09', '108', '77.92', '-13.55', 120, '58', '2.65', '2.76', '8.82', '9', '6', 900, -592, '63', '45', '86.18']
['BTC-USDT', '30m', 'U<XD+i_', '2021-01-01', '2021-10-09', '101', '76.23', '-16.89', 116, '58', '1.46', '2.93', '6.87', '17', '7', 644, -592, '59', '42', '86.18']
['BTC-USDT', '30m', 'r:)D3in', '2021-01-01', '2021-10-09', '95', '70.92', '-12.94', 107, '63', '3.23', '2.81', '8.3', '15', '4', 565, -592, '60', '35', '86.18']
['BTC-USDT', '30m', 'i<)D0in', '2021-01-01', '2021-10-09', '99', '63.18', '-13.38', 97, '60', '2.51', '2.61', '7.24', '9', '5', 838, -579, '59', '40', '86.18']
['BTC-USDT', '30m', '_<9D=in', '2021-01-01', '2021-10-09', '107', '70.6', '-13.11', 108, '58', '2.58', '2.66', '8.25', '9', '6', 743, -582, '62', '45', '86.18']
['BTC-USDT', '30m', 'T<9DAi_', '2021-01-01', '2021-10-09', '105', '77.7', '-18.38', 118, '58', '1.18', '2.84', '6.43', '17', '7', 766, -592, '61', '44', '86.18']
['BTC-USDT', '30m', 'c<ID+iw', '2021-01-01', '2021-10-09', '112', '71.65', '-10.66', 111, '62', '3.8', '2.76', '10.46', '10', '3', 590, -592, '70', '42', '86.18']
['BTC-USDT', '30m', 'W<XD+i_', '2021-01-01', '2021-10-09', '99', '75.93', '-17.02', 115, '59', '1.41', '2.89', '6.78', '9', '6', 644, -605, '58', '41', '86.18']
['BTC-USDT', '30m', 'W<ID?i_', '2021-01-01', '2021-10-09', '100', '74.19', '-16.84', 113, '60', '1.46', '2.89', '6.69', '9', '6', 583, -592, '60', '40', '86.18']
['BTC-USDT', '30m', '_<=D?iq', '2021-01-01', '2021-10-09', '113', '73.42', '-13.22', 114, '59', '3.31', '2.73', '8.64', '10', '6', 641, -579, '67', '46', '86.18']
['BTC-USDT', '30m', 'h<)D8in', '2021-01-01', '2021-10-09', '98', '63.12', '-13.43', 97, '59', '2.44', '2.62', '7.21', '9', '5', 838, -579, '58', '40', '86.18']
['BTC-USDT', '30m', 'h<)D3in', '2021-01-01', '2021-10-09', '98', '63.12', '-13.43', 97, '59', '2.44', '2.62', '7.21', '9', '5', 838, -579, '58', '40', '86.18']
['BTC-USDT', '30m', 'h<,D8in', '2021-01-01', '2021-10-09', '98', '63.16', '-13.44', 97, '59', '2.37', '2.62', '7.21', '9', '5', 874, -579, '58', '40', '86.18']
['BTC-USDT', '30m', 'h<)D.in', '2021-01-01', '2021-10-09', '98', '63.12', '-13.43', 97, '59', '2.44', '2.62', '7.21', '9', '5', 838, -579, '58', '40', '86.18']
['BTC-USDT', '30m', 'S<5D?i_', '2021-01-01', '2021-10-09', '106', '79.1', '-18.92', 121, '58', '1.07', '2.8', '6.37', '17', '7', 904, -605, '61', '45', '86.18']
['BTC-USDT', '30m', '^<>D?in', '2021-01-01', '2021-10-09', '108', '67.64', '-12.96', 104, '59', '2.44', '2.64', '8.0', '9', '6', 550, -582, '64', '44', '86.18']
['BTC-USDT', '30m', '_<;D?in', '2021-01-01', '2021-10-09', '107', '69.0', '-13.17', 106, '59', '2.46', '2.63', '8.03', '9', '6', 695, -582, '63', '44', '86.18']
['BTC-USDT', '30m', '_<;D2in', '2021-01-01', '2021-10-09', '107', '69.0', '-13.17', 106, '59', '2.46', '2.63', '8.03', '9', '6', 695, -582, '63', '44', '86.18']
['BTC-USDT', '30m', 'i<9D4in', '2021-01-01', '2021-10-09', '99', '61.46', '-12.88', 94, '60', '2.62', '2.61', '7.32', '9', '5', 710, -579, '59', '40', '86.18']
['BTC-USDT', '30m', 'U<9D;i_', '2021-01-01', '2021-10-09', '102', '75.44', '-17.69', 115, '58', '1.32', '2.81', '6.48', '17', '7', 754, -579, '59', '43', '86.18']
['BTC-USDT', '30m', 'U<MD?i_', '2021-01-01', '2021-10-09', '102', '74.72', '-17.8', 114, '58', '1.3', '2.8', '6.39', '17', '7', 731, -592, '59', '43', '86.18']
['BTC-USDT', '30m', 'a</D?iq', '2021-01-01', '2021-10-09', '108', '68.6', '-12.64', 107, '58', '3.46', '2.6', '8.45', '10', '6', 794, -592, '63', '45', '86.18']
['BTC-USDT', '30m', '_<BD?in', '2021-01-01', '2021-10-09', '107', '67.53', '-12.83', 103, '59', '2.49', '2.63', '8.06', '9', '6', 626, -570, '63', '44', '86.18']
['BTC-USDT', '30m', 'r:;D?in', '2021-01-01', '2021-10-09', '96', '63.57', '-12.95', 96, '62', '2.79', '2.66', '7.43', '9', '4', 550, -595, '60', '36', '86.18']
['BTC-USDT', '30m', 'i<;D>in', '2021-01-01', '2021-10-09', '99', '61.02', '-12.87', 94, '61', '2.56', '2.6', '7.27', '9', '5', 678, -570, '60', '39', '86.18']
['BTC-USDT', '30m', 'i<;D4in', '2021-01-01', '2021-10-09', '99', '61.02', '-12.87', 94, '61', '2.56', '2.6', '7.27', '9', '5', 678, -570, '60', '39', '86.18']
['BTC-USDT', '30m', 'i<;D?in', '2021-01-01', '2021-10-09', '99', '61.02', '-12.87', 94, '61', '2.56', '2.6', '7.27', '9', '5', 678, -570, '60', '39', '86.18']
['BTC-USDT', '30m', 'r:;D>in', '2021-01-01', '2021-10-09', '96', '63.57', '-12.95', 96, '62', '2.79', '2.66', '7.43', '9', '4', 550, -595, '60', '36', '86.18']
['BTC-USDT', '30m', 'h<;D>in', '2021-01-01', '2021-10-09', '98', '60.95', '-13.13', 93, '60', '2.44', '2.61', '7.12', '9', '5', 678, -570, '59', '39', '86.18']
['BTC-USDT', '30m', 'r:;D6in', '2021-01-01', '2021-10-09', '96', '63.57', '-12.95', 96, '62', '2.79', '2.66', '7.43', '9', '4', 550, -595, '60', '36', '86.18']
['BTC-USDT', '30m', 'i<;D8in', '2021-01-01', '2021-10-09', '99', '61.02', '-12.87', 94, '61', '2.56', '2.6', '7.27', '9', '5', 678, -570, '60', '39', '86.18']
['BTC-USDT', '30m', 's:;D>in', '2021-01-01', '2021-10-09', '96', '63.57', '-12.95', 96, '62', '2.79', '2.66', '7.43', '9', '4', 550, -595, '60', '36', '86.18']
['BTC-USDT', '30m', 'r:;D8in', '2021-01-01', '2021-10-09', '96', '63.57', '-12.95', 96, '62', '2.79', '2.66', '7.43', '9', '4', 550, -595, '60', '36', '86.18']
['BTC-USDT', '30m', 'r:;D2in', '2021-01-01', '2021-10-09', '96', '63.57', '-12.95', 96, '62', '2.79', '2.66', '7.43', '9', '4', 550, -595, '60', '36', '86.18']
['BTC-USDT', '30m', '`<)D8in', '2021-01-01', '2021-10-09', '105', '69.56', '-12.91', 107, '58', '2.11', '2.61', '8.27', '9', '6', 878, -595, '61', '44', '86.18']
['BTC-USDT', '30m', '`<)D?in', '2021-01-01', '2021-10-09', '105', '69.56', '-12.91', 107, '58', '2.11', '2.61', '8.27', '9', '6', 878, -595, '61', '44', '86.18']
['BTC-USDT', '30m', '`<)D.in', '2021-01-01', '2021-10-09', '105', '69.56', '-12.91', 107, '58', '2.11', '2.61', '8.27', '9', '6', 878, -595, '61', '44', '86.18']
['BTC-USDT', '30m', '`<)D0in', '2021-01-01', '2021-10-09', '105', '69.56', '-12.91', 107, '58', '2.11', '2.61', '8.27', '9', '6', 878, -595, '61', '44', '86.18']
['BTC-USDT', '30m', '`<)D.im', '2021-01-01', '2021-10-09', '105', '69.56', '-12.91', 107, '58', '2.11', '2.61', '8.27', '9', '6', 878, -595, '61', '44', '86.18']
['BTC-USDT', '30m', 'F<kDliw', '2021-01-01', '2021-10-09', '165', '64.46', '-15.19', 112, '57', '2.41', '2.46', '7.34', '9', '5', 565, -737, '94', '71', '86.18']
['BTC-USDT', '30m', 'Q<BD?iv', '2021-01-01', '2021-10-09', '137', '71.1', '-9.16', 114, '58', '4.31', '2.56', '12.39', '8', '4', 655, -737, '80', '57', '86.18']
['BTC-USDT', '30m', 'Y<BD?in', '2021-01-01', '2021-10-09', '115', '66.74', '-13.68', 106, '57', '2.71', '2.65', '7.75', '9', '6', 635, -595, '66', '49', '86.18']
['BTC-USDT', '30m', 'i<BD<in', '2021-01-01', '2021-10-09', '99', '60.46', '-12.4', 93, '61', '2.79', '2.6', '7.48', '9', '5', 614, -570, '60', '39', '86.18']
['BTC-USDT', '30m', 'i<BD?in', '2021-01-01', '2021-10-09', '99', '60.46', '-12.4', 93, '61', '2.79', '2.6', '7.48', '9', '5', 614, -570, '60', '39', '86.18']
['BTC-USDT', '30m', 'i<=D?in', '2021-01-01', '2021-10-09', '99', '60.32', '-12.84', 93, '61', '2.57', '2.6', '7.21', '9', '5', 598, -570, '60', '39', '86.18']
['BTC-USDT', '30m', 'Y<;D>in', '2021-01-01', '2021-10-09', '115', '66.66', '-14.19', 104, '57', '2.46', '2.55', '7.35', '9', '6', 701, -595, '66', '49', '86.18']
['BTC-USDT', '30m', 'Y<;D?in', '2021-01-01', '2021-10-09', '115', '66.66', '-14.19', 104, '57', '2.46', '2.55', '7.35', '9', '6', 701, -595, '66', '49', '86.18']
['BTC-USDT', '30m', 'Y<;D6in', '2021-01-01', '2021-10-09', '115', '66.66', '-14.19', 104, '57', '2.46', '2.55', '7.35', '9', '6', 701, -595, '66', '49', '86.18']
['BTC-USDT', '30m', 'Y<;D2in', '2021-01-01', '2021-10-09', '115', '66.66', '-14.19', 104, '57', '2.46', '2.55', '7.35', '9', '6', 701, -595, '66', '49', '86.18']
['BTC-USDT', '30m', 'S<9DAi_', '2021-01-01', '2021-10-09', '106', '74.38', '-18.38', 113, '58', '1.07', '2.75', '6.16', '17', '7', 766, -592, '61', '45', '86.18']
['BTC-USDT', '30m', '];@ELwq', '2021-01-01', '2021-10-09', '109', '73.24', '-11.96', 115, '61', '3.27', '2.66', '9.61', '10', '5', 693, -579, '67', '42', '86.18']
['BTC-USDT', '30m', '`<;D>in', '2021-01-01', '2021-10-09', '105', '65.93', '-12.49', 101, '59', '2.15', '2.59', '8.1', '9', '6', 695, -582, '62', '43', '86.18']
['BTC-USDT', '30m', '`<;D8in', '2021-01-01', '2021-10-09', '105', '65.93', '-12.49', 101, '59', '2.15', '2.59', '8.1', '9', '6', 695, -582, '62', '43', '86.18']
['BTC-USDT', '30m', '`<;D2in', '2021-01-01', '2021-10-09', '105', '65.93', '-12.49', 101, '59', '2.15', '2.59', '8.1', '9', '6', 695, -582, '62', '43', '86.18']
['BTC-USDT', '30m', 'Y<)D8in', '2021-01-01', '2021-10-09', '115', '67.46', '-15.23', 104, '56', '2.04', '2.43', '6.85', '9', '6', 855, -582, '64', '51', '86.18']
['BTC-USDT', '30m', 'Y<)D.in', '2021-01-01', '2021-10-09', '115', '67.46', '-15.23', 104, '56', '2.04', '2.43', '6.85', '9', '6', 855, -582, '64', '51', '86.18']
['BTC-USDT', '30m', 'Y<9D4in', '2021-01-01', '2021-10-09', '115', '66.9', '-14.28', 105, '56', '2.44', '2.55', '7.33', '9', '6', 724, -595, '64', '51', '86.18']
['BTC-USDT', '30m', 'r<.D<is', '2021-01-01', '2021-10-09', '95', '58.12', '-9.23', 91, '61', '3.79', '2.55', '9.83', '9', '4', 550, -579, '58', '37', '86.18']
['BTC-USDT', '30m', 'Z<9Dqim', '2021-01-01', '2021-10-09', '103', '72.53', '-17.51', 121, '56', '1.56', '2.94', '6.93', '9', '6', 762, -592, '58', '45', '86.18']
['BTC-USDT', '30m', 'c<MD+iv', '2021-01-01', '2021-10-09', '109', '62.3', '-11.31', 104, '58', '3.34', '2.6', '9.18', '9', '3', 709, -579, '63', '46', '86.18']
['BTC-USDT', '30m', '6<MDhi_', '2021-01-01', '2021-10-09', '180', '64.84', '-23.94', 111, '51', '0.71', '2.34', '4.64', '7', '5', 733, -579, '91', '89', '86.18']
['BTC-USDT', '30m', '6<MDfi_', '2021-01-01', '2021-10-09', '180', '64.84', '-23.94', 111, '51', '0.71', '2.34', '4.64', '7', '5', 733, -579, '91', '89', '86.18']
['BTC-USDT', '30m', 'W<YD;i_', '2021-01-01', '2021-10-09', '101', '73.57', '-16.49', 112, '58', '1.45', '2.82', '6.76', '9', '6', 600, -579, '59', '42', '86.18']
['BTC-USDT', '30m', 'X<MD+i_', '2021-01-01', '2021-10-09', '98', '75.0', '-17.77', 114, '58', '1.36', '2.81', '6.4', '9', '6', 720, -579, '57', '41', '86.18']
['BTC-USDT', '30m', '+<8D`i_', '2021-01-01', '2021-10-09', '150', '70.88', '-19.08', 110, '53', '0.99', '2.55', '5.75', '14', '5', 693, -553, '79', '71', '86.18']
['BTC-USDT', '30m', 'U<YD;i_', '2021-01-01', '2021-10-09', '103', '73.11', '-17.1', 111, '58', '1.39', '2.83', '6.49', '17', '7', 600, -579, '60', '43', '86.18']
['BTC-USDT', '30m', 'N<BDiiv', '2021-01-01', '2021-10-09', '137', '69.32', '-13.61', 111, '59', '3.09', '2.51', '8.14', '9', '4', 647, -719, '81', '56', '86.18']
['BTC-USDT', '30m', 'h<+D<in', '2021-01-01', '2021-10-09', '98', '56.81', '-13.32', 94, '58', '2.35', '2.59', '7.06', '8', '5', 694, -570, '57', '41', '86.18']
['BTC-USDT', '30m', 'h<+D1in', '2021-01-01', '2021-10-09', '98', '56.81', '-13.32', 94, '58', '2.35', '2.59', '7.06', '8', '5', 694, -570, '57', '41', '86.18']
['BTC-USDT', '30m', 's:)D.in', '2021-01-01', '2021-10-09', '98', '64.07', '-13.19', 97, '62', '2.8', '2.61', '7.35', '9', '4', 534, -582, '61', '37', '86.18']
['BTC-USDT', '30m', 'r:)D.in', '2021-01-01', '2021-10-09', '98', '64.07', '-13.19', 97, '62', '2.8', '2.61', '7.35', '9', '4', 534, -582, '61', '37', '86.18']
