['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETH-USD', '5m', 'SRRQ9c', '2021-06-01', '2021-10-01', '53', '45.76', '-16.0', 209, '45', '2.19', '2.21', '13.41', '3', '5', 1388, -680, '24', '29', '11.36']
['ETH-USD', '5m', '6@Ee5H', '2021-06-01', '2021-10-01', '236', '25.22', '-42.0', 96, '34', '0.15', '1.23', '2.28', '7', '8', 1449, -536, '80', '156', '11.36']
['ETH-USD', '5m', '@+k+5X', '2021-06-01', '2021-10-01', '231', '32.53', '-23.0', 132, '36', '0.54', '1.66', '5.72', '5', '9', 590, -740, '83', '148', '11.36']
['ETH-USD', '5m', '@DKpKH', '2021-06-01', '2021-10-01', '147', '62.04', '-29.0', 324, '39', '0.98', '2.09', '11.09', '5', '8', 2115, -816, '57', '90', '11.36']
['ETH-USD', '5m', '@5KV,H', '2021-06-01', '2021-10-01', '221', '24.35', '-24.0', 92, '37', '0.58', '1.22', '3.78', '5', '10', 1278, -552, '82', '139', '11.36']
['ETH-USD', '5m', 'F@2(<H', '2021-06-01', '2021-10-01', '147', '13.95', '-11.0', 48, '77', '0.47', '1.46', '4.27', '11', '4', 98, -474, '113', '34', '11.36']
['ETH-USD', '5m', 'F@bC4M', '2021-06-01', '2021-10-01', '138', '93.84', '-30.0', 624, '41', '1.34', '2.8', '20.89', '4', '8', 2019, -1230, '57', '81', '11.36']
['ETH-USD', '5m', 'F@bC4N', '2021-06-01', '2021-10-01', '136', '82.22', '-36.0', 502, '41', '0.63', '2.57', '13.78', '4', '8', 2027, -1276, '56', '80', '11.36']
['ETH-USD', '5m', 'E@.b=.', '2021-06-01', '2021-10-01', '150', '92.5', '-12.0', 610, '42', '6.11', '3.43', '50.61', '5', '5', 924, -781, '63', '87', '11.36']
['ETH-USD', '5m', 'E@bDKH', '2021-06-01', '2021-10-01', '136', '71.31', '-34.0', 401, '42', '0.64', '2.39', '11.64', '5', '6', 1923, -1176, '57', '79', '11.36']
['ETH-USD', '5m', 'K+Rr3.', '2021-06-01', '2021-10-01', '260', '-7.87', '-38.0', -22, '36', '-0.05', '0.12', '-0.58', '4', '11', 1375, -496, '94', '166', '11.36']
['ETH-USD', '5m', '@>KH58', '2021-06-01', '2021-10-01', '180', '51.13', '-23.0', 244, '40', '1.58', '1.93', '10.81', '6', '5', 1206, -632, '72', '108', '11.36']
['ETH-USD', '5m', 'FAia=7', '2021-06-01', '2021-10-01', '152', '43.55', '-32.0', 195, '39', '0.72', '1.63', '6.15', '5', '10', 2361, -953, '59', '93', '11.36']
['ETH-USD', '5m', '@3Drf.', '2021-06-01', '2021-10-01', '264', '17.45', '-31.0', 62, '34', '0.15', '0.99', '1.97', '5', '9', 1492, -552, '89', '175', '11.36']
['ETH-USD', '5m', '6@CBEH', '2021-06-01', '2021-10-01', '205', '69.02', '-30.0', 381, '36', '0.73', '2.52', '12.74', '7', '7', 1008, -737, '74', '131', '11.36']
['ETH-USD', '5m', '@@Qro;', '2021-06-01', '2021-10-01', '177', '27.56', '-27.0', 107, '38', '0.55', '1.26', '3.99', '6', '8', 1982, -583, '68', '109', '11.36']
['ETH-USD', '5m', '@EKH,H', '2021-06-01', '2021-10-01', '158', '58.36', '-29.0', 296, '39', '0.61', '2.2', '10.06', '5', '8', 1279, -823, '61', '97', '11.36']
['ETH-USD', '5m', '@DK9)H', '2021-06-01', '2021-10-01', '150', '74.48', '-19.0', 429, '40', '1.48', '2.94', '22.53', '5', '8', 902, -869, '60', '90', '11.36']
['ETH-USD', '5m', 'F=b(4^', '2021-06-01', '2021-10-01', '107', '61.62', '-9.0', 321, '53', '5.33', '3.46', '36.04', '7', '5', 493, -664, '57', '50', '11.36']
['ETH-USD', '5m', 'E@bkKH', '2021-06-01', '2021-10-01', '136', '33.89', '-35.0', 139, '42', '0.28', '1.47', '3.93', '5', '6', 1607, -930, '57', '79', '11.36']
['ETH-USD', '5m', 'E@bvKH', '2021-06-01', '2021-10-01', '136', '33.89', '-35.0', 139, '42', '0.28', '1.47', '3.93', '5', '6', 1607, -930, '57', '79', '11.36']
['ETH-USD', '5m', 'N/b^(8', '2021-06-01', '2021-10-01', '178', '16.19', '-24.0', 57, '38', '0.29', '0.94', '2.39', '6', '7', 1885, -593, '67', '111', '11.36']
['ETH-USD', '5m', '`=9aR0', '2021-06-01', '2021-10-01', '133', '85.23', '-22.0', 532, '41', '2.22', '2.83', '24.66', '6', '8', 1441, -788, '54', '79', '11.36']
['ETH-USD', '5m', 'E@nrKH', '2021-06-01', '2021-10-01', '136', '33.8', '-36.0', 139, '42', '0.28', '1.46', '3.9', '5', '6', 1624, -1021, '57', '79', '11.36']
['ETH-USD', '5m', 'E@frKH', '2021-06-01', '2021-10-01', '136', '31.63', '-36.0', 128, '42', '0.26', '1.4', '3.56', '5', '6', 1598, -947, '57', '79', '11.36']
['ETH-USD', '5m', 'H@k(5H', '2021-06-01', '2021-10-01', '142', '90.39', '-12.0', 586, '50', '8.96', '3.7', '50.85', '7', '5', 660, -958, '71', '71', '11.36']
['ETH-USD', '5m', 'F@bl4)', '2021-06-01', '2021-10-01', '146', '46.7', '-32.0', 215, '41', '0.65', '1.76', '6.72', '4', '8', 1659, -960, '60', '86', '11.36']
['ETH-USD', '5m', 'F@bv4)', '2021-06-01', '2021-10-01', '146', '46.7', '-32.0', 215, '41', '0.65', '1.76', '6.72', '4', '8', 1659, -960, '60', '86', '11.36']
['ETH-USD', '5m', 'F@bk<H', '2021-06-01', '2021-10-01', '142', '48.08', '-31.0', 224, '42', '0.75', '1.8', '7.27', '4', '8', 1660, -954, '59', '83', '11.36']
['ETH-USD', '5m', 'F@bu<H', '2021-06-01', '2021-10-01', '142', '48.08', '-31.0', 224, '42', '0.75', '1.8', '7.27', '4', '8', 1660, -954, '59', '83', '11.36']
['ETH-USD', '5m', 'F@bt<H', '2021-06-01', '2021-10-01', '142', '48.08', '-31.0', 224, '42', '0.75', '1.8', '7.27', '4', '8', 1660, -954, '59', '83', '11.36']
['ETH-USD', '5m', 'F@bq<H', '2021-06-01', '2021-10-01', '142', '48.08', '-31.0', 224, '42', '0.75', '1.8', '7.27', '4', '8', 1660, -954, '59', '83', '11.36']
['ETH-USD', '5m', 'F@bm<H', '2021-06-01', '2021-10-01', '142', '48.08', '-31.0', 224, '42', '0.75', '1.8', '7.27', '4', '8', 1660, -954, '59', '83', '11.36']
['ETH-USD', '5m', 'E@.d=.', '2021-06-01', '2021-10-01', '150', '91.81', '-12.0', 602, '42', '7.18', '3.39', '49.98', '5', '5', 947, -774, '63', '87', '11.36']
['ETH-USD', '5m', 'E@irKH', '2021-06-01', '2021-10-01', '136', '30.76', '-36.0', 123, '42', '0.24', '1.38', '3.41', '5', '6', 1598, -963, '57', '79', '11.36']
['ETH-USD', '5m', 'E=b]U.', '2021-06-01', '2021-10-01', '172', '59.45', '-26.0', 304, '38', '1.35', '2.06', '11.75', '6', '8', 2396, -797, '66', '106', '11.36']
